# gen_port_map.py dp=2 tp=1 pp=4 ep=128 psize=16 hi_order=pp_major dp_mode=ring ep_ports=12 dp_ports=1 pp_ports=1
# panels=64 ports used per panel: min 12 max 15 of 16
# panel 0: ep->[1, 2, 3, 4, 5, 6, 7] dp->[15] pp->[16] used 14
# panel 1: ep->[0, 2, 3, 4, 5, 6, 7] dp->[] pp->[17] used 13
# panel 2: ep->[0, 1, 3, 4, 5, 6, 7] dp->[] pp->[18] used 13
# panel 3: ep->[0, 1, 2, 4, 5, 6, 7] dp->[] pp->[19] used 14
# panel 4: ep->[0, 1, 2, 3, 5, 6, 7] dp->[] pp->[20] used 13
# panel 5: ep->[0, 1, 2, 3, 4, 6, 7] dp->[] pp->[21] used 12
# panel 6: ep->[0, 1, 2, 3, 4, 5, 7] dp->[] pp->[22] used 13
# panel 7: ep->[0, 1, 2, 3, 4, 5, 6] dp->[8] pp->[23] used 14
# panel 8: ep->[9, 10, 11, 12, 13, 14, 15] dp->[7] pp->[24] used 14
# panel 9: ep->[8, 10, 11, 12, 13, 14, 15] dp->[] pp->[25] used 13
# panel 10: ep->[8, 9, 11, 12, 13, 14, 15] dp->[] pp->[26] used 13
# panel 11: ep->[8, 9, 10, 12, 13, 14, 15] dp->[] pp->[27] used 14
# panel 12: ep->[8, 9, 10, 11, 13, 14, 15] dp->[] pp->[28] used 13
# panel 13: ep->[8, 9, 10, 11, 12, 14, 15] dp->[] pp->[29] used 12
# panel 14: ep->[8, 9, 10, 11, 12, 13, 15] dp->[] pp->[30] used 13
# panel 15: ep->[8, 9, 10, 11, 12, 13, 14] dp->[0] pp->[31] used 14
# panel 16: ep->[17, 18, 19, 20, 21, 22, 23] dp->[31] pp->[0, 32] used 15
# panel 17: ep->[16, 18, 19, 20, 21, 22, 23] dp->[] pp->[1, 33] used 14
# panel 18: ep->[16, 17, 19, 20, 21, 22, 23] dp->[] pp->[2, 34] used 14
# panel 19: ep->[16, 17, 18, 20, 21, 22, 23] dp->[] pp->[3, 35] used 15
# panel 20: ep->[16, 17, 18, 19, 21, 22, 23] dp->[] pp->[4, 36] used 14
# panel 21: ep->[16, 17, 18, 19, 20, 22, 23] dp->[] pp->[5, 37] used 13
# panel 22: ep->[16, 17, 18, 19, 20, 21, 23] dp->[] pp->[6, 38] used 14
# panel 23: ep->[16, 17, 18, 19, 20, 21, 22] dp->[24] pp->[7, 39] used 15
# panel 24: ep->[25, 26, 27, 28, 29, 30, 31] dp->[23] pp->[8, 40] used 15
# panel 25: ep->[24, 26, 27, 28, 29, 30, 31] dp->[] pp->[9, 41] used 14
# panel 26: ep->[24, 25, 27, 28, 29, 30, 31] dp->[] pp->[10, 42] used 14
# panel 27: ep->[24, 25, 26, 28, 29, 30, 31] dp->[] pp->[11, 43] used 15
# panel 28: ep->[24, 25, 26, 27, 29, 30, 31] dp->[] pp->[12, 44] used 14
# panel 29: ep->[24, 25, 26, 27, 28, 30, 31] dp->[] pp->[13, 45] used 13
# panel 30: ep->[24, 25, 26, 27, 28, 29, 31] dp->[] pp->[14, 46] used 14
# panel 31: ep->[24, 25, 26, 27, 28, 29, 30] dp->[16] pp->[15, 47] used 15
# panel 32: ep->[33, 34, 35, 36, 37, 38, 39] dp->[47] pp->[16, 48] used 15
# panel 33: ep->[32, 34, 35, 36, 37, 38, 39] dp->[] pp->[17, 49] used 14
# panel 34: ep->[32, 33, 35, 36, 37, 38, 39] dp->[] pp->[18, 50] used 14
# panel 35: ep->[32, 33, 34, 36, 37, 38, 39] dp->[] pp->[19, 51] used 15
# panel 36: ep->[32, 33, 34, 35, 37, 38, 39] dp->[] pp->[20, 52] used 14
# panel 37: ep->[32, 33, 34, 35, 36, 38, 39] dp->[] pp->[21, 53] used 13
# panel 38: ep->[32, 33, 34, 35, 36, 37, 39] dp->[] pp->[22, 54] used 14
# panel 39: ep->[32, 33, 34, 35, 36, 37, 38] dp->[40] pp->[23, 55] used 15
# panel 40: ep->[41, 42, 43, 44, 45, 46, 47] dp->[39] pp->[24, 56] used 15
# panel 41: ep->[40, 42, 43, 44, 45, 46, 47] dp->[] pp->[25, 57] used 14
# panel 42: ep->[40, 41, 43, 44, 45, 46, 47] dp->[] pp->[26, 58] used 14
# panel 43: ep->[40, 41, 42, 44, 45, 46, 47] dp->[] pp->[27, 59] used 15
# panel 44: ep->[40, 41, 42, 43, 45, 46, 47] dp->[] pp->[28, 60] used 14
# panel 45: ep->[40, 41, 42, 43, 44, 46, 47] dp->[] pp->[29, 61] used 13
# panel 46: ep->[40, 41, 42, 43, 44, 45, 47] dp->[] pp->[30, 62] used 14
# panel 47: ep->[40, 41, 42, 43, 44, 45, 46] dp->[32] pp->[31, 63] used 15
# panel 48: ep->[49, 50, 51, 52, 53, 54, 55] dp->[63] pp->[32] used 14
# panel 49: ep->[48, 50, 51, 52, 53, 54, 55] dp->[] pp->[33] used 13
# panel 50: ep->[48, 49, 51, 52, 53, 54, 55] dp->[] pp->[34] used 13
# panel 51: ep->[48, 49, 50, 52, 53, 54, 55] dp->[] pp->[35] used 14
# panel 52: ep->[48, 49, 50, 51, 53, 54, 55] dp->[] pp->[36] used 13
# panel 53: ep->[48, 49, 50, 51, 52, 54, 55] dp->[] pp->[37] used 12
# panel 54: ep->[48, 49, 50, 51, 52, 53, 55] dp->[] pp->[38] used 13
# panel 55: ep->[48, 49, 50, 51, 52, 53, 54] dp->[56] pp->[39] used 14
# panel 56: ep->[57, 58, 59, 60, 61, 62, 63] dp->[55] pp->[40] used 14
# panel 57: ep->[56, 58, 59, 60, 61, 62, 63] dp->[] pp->[41] used 13
# panel 58: ep->[56, 57, 59, 60, 61, 62, 63] dp->[] pp->[42] used 13
# panel 59: ep->[56, 57, 58, 60, 61, 62, 63] dp->[] pp->[43] used 14
# panel 60: ep->[56, 57, 58, 59, 61, 62, 63] dp->[] pp->[44] used 13
# panel 61: ep->[56, 57, 58, 59, 60, 62, 63] dp->[] pp->[45] used 12
# panel 62: ep->[56, 57, 58, 59, 60, 61, 63] dp->[] pp->[46] used 13
# panel 63: ep->[56, 57, 58, 59, 60, 61, 62] dp->[48] pp->[47] used 14
0 1 2
0 2 2
0 3 2
0 4 2
0 5 1
0 6 1
0 7 2
0 15 1
0 16 1
1 2 2
1 3 2
1 4 1
1 5 1
1 6 2
1 7 2
1 17 1
2 3 1
2 4 1
2 5 2
2 6 2
2 7 2
2 18 1
3 4 2
3 5 2
3 6 2
3 7 2
3 19 1
4 5 2
4 6 2
4 7 2
4 20 1
5 6 2
5 7 1
5 21 1
6 7 1
6 22 1
7 8 1
7 23 1
8 9 2
8 10 2
8 11 2
8 12 2
8 13 1
8 14 1
8 15 2
8 24 1
9 10 2
9 11 2
9 12 1
9 13 1
9 14 2
9 15 2
9 25 1
10 11 1
10 12 1
10 13 2
10 14 2
10 15 2
10 26 1
11 12 2
11 13 2
11 14 2
11 15 2
11 27 1
12 13 2
12 14 2
12 15 2
12 28 1
13 14 2
13 15 1
13 29 1
14 15 1
14 30 1
15 31 1
16 17 2
16 18 2
16 19 2
16 20 2
16 21 1
16 22 1
16 23 2
16 31 1
16 32 1
17 18 2
17 19 2
17 20 1
17 21 1
17 22 2
17 23 2
17 33 1
18 19 1
18 20 1
18 21 2
18 22 2
18 23 2
18 34 1
19 20 2
19 21 2
19 22 2
19 23 2
19 35 1
20 21 2
20 22 2
20 23 2
20 36 1
21 22 2
21 23 1
21 37 1
22 23 1
22 38 1
23 24 1
23 39 1
24 25 2
24 26 2
24 27 2
24 28 2
24 29 1
24 30 1
24 31 2
24 40 1
25 26 2
25 27 2
25 28 1
25 29 1
25 30 2
25 31 2
25 41 1
26 27 1
26 28 1
26 29 2
26 30 2
26 31 2
26 42 1
27 28 2
27 29 2
27 30 2
27 31 2
27 43 1
28 29 2
28 30 2
28 31 2
28 44 1
29 30 2
29 31 1
29 45 1
30 31 1
30 46 1
31 47 1
32 33 2
32 34 2
32 35 2
32 36 2
32 37 1
32 38 1
32 39 2
32 47 1
32 48 1
33 34 2
33 35 2
33 36 1
33 37 1
33 38 2
33 39 2
33 49 1
34 35 1
34 36 1
34 37 2
34 38 2
34 39 2
34 50 1
35 36 2
35 37 2
35 38 2
35 39 2
35 51 1
36 37 2
36 38 2
36 39 2
36 52 1
37 38 2
37 39 1
37 53 1
38 39 1
38 54 1
39 40 1
39 55 1
40 41 2
40 42 2
40 43 2
40 44 2
40 45 1
40 46 1
40 47 2
40 56 1
41 42 2
41 43 2
41 44 1
41 45 1
41 46 2
41 47 2
41 57 1
42 43 1
42 44 1
42 45 2
42 46 2
42 47 2
42 58 1
43 44 2
43 45 2
43 46 2
43 47 2
43 59 1
44 45 2
44 46 2
44 47 2
44 60 1
45 46 2
45 47 1
45 61 1
46 47 1
46 62 1
47 63 1
48 49 2
48 50 2
48 51 2
48 52 2
48 53 1
48 54 1
48 55 2
48 63 1
49 50 2
49 51 2
49 52 1
49 53 1
49 54 2
49 55 2
50 51 1
50 52 1
50 53 2
50 54 2
50 55 2
51 52 2
51 53 2
51 54 2
51 55 2
52 53 2
52 54 2
52 55 2
53 54 2
53 55 1
54 55 1
55 56 1
56 57 2
56 58 2
56 59 2
56 60 2
56 61 1
56 62 1
56 63 2
57 58 2
57 59 2
57 60 1
57 61 1
57 62 2
57 63 2
58 59 1
58 60 1
58 61 2
58 62 2
58 63 2
59 60 2
59 61 2
59 62 2
59 63 2
60 61 2
60 62 2
60 63 2
61 62 2
61 63 1
62 63 1
