# gen_port_map.py dp=2 tp=1 pp=4 ep=128 psize=16 hi_order=dp_major ep_ports=13 dp_ports=1 pp_ports=1
# panels=64 ports used per panel: min 15 max 17 of 16
# panel 0: ep->[1, 2, 3, 4, 5, 6, 7] dp->[32] pp->[8] used 16
# panel 1: ep->[0, 2, 3, 4, 5, 6, 7] dp->[33] pp->[9] used 16
# panel 2: ep->[0, 1, 3, 4, 5, 6, 7] dp->[34] pp->[10] used 16
# panel 3: ep->[0, 1, 2, 4, 5, 6, 7] dp->[35] pp->[11] used 16
# panel 4: ep->[0, 1, 2, 3, 5, 6, 7] dp->[36] pp->[12] used 16
# panel 5: ep->[0, 1, 2, 3, 4, 6, 7] dp->[37] pp->[13] used 16
# panel 6: ep->[0, 1, 2, 3, 4, 5, 7] dp->[38] pp->[14] used 15
# panel 7: ep->[0, 1, 2, 3, 4, 5, 6] dp->[39] pp->[15] used 15
# panel 8: ep->[9, 10, 11, 12, 13, 14, 15] dp->[40] pp->[0, 16] used 17
# panel 9: ep->[8, 10, 11, 12, 13, 14, 15] dp->[41] pp->[1, 17] used 17
# panel 10: ep->[8, 9, 11, 12, 13, 14, 15] dp->[42] pp->[2, 18] used 17
# panel 11: ep->[8, 9, 10, 12, 13, 14, 15] dp->[43] pp->[3, 19] used 17
# panel 12: ep->[8, 9, 10, 11, 13, 14, 15] dp->[44] pp->[4, 20] used 17
# panel 13: ep->[8, 9, 10, 11, 12, 14, 15] dp->[45] pp->[5, 21] used 17
# panel 14: ep->[8, 9, 10, 11, 12, 13, 15] dp->[46] pp->[6, 22] used 16
# panel 15: ep->[8, 9, 10, 11, 12, 13, 14] dp->[47] pp->[7, 23] used 16
# panel 16: ep->[17, 18, 19, 20, 21, 22, 23] dp->[48] pp->[8, 24] used 17
# panel 17: ep->[16, 18, 19, 20, 21, 22, 23] dp->[49] pp->[9, 25] used 17
# panel 18: ep->[16, 17, 19, 20, 21, 22, 23] dp->[50] pp->[10, 26] used 17
# panel 19: ep->[16, 17, 18, 20, 21, 22, 23] dp->[51] pp->[11, 27] used 17
# panel 20: ep->[16, 17, 18, 19, 21, 22, 23] dp->[52] pp->[12, 28] used 17
# panel 21: ep->[16, 17, 18, 19, 20, 22, 23] dp->[53] pp->[13, 29] used 17
# panel 22: ep->[16, 17, 18, 19, 20, 21, 23] dp->[54] pp->[14, 30] used 16
# panel 23: ep->[16, 17, 18, 19, 20, 21, 22] dp->[55] pp->[15, 31] used 16
# panel 24: ep->[25, 26, 27, 28, 29, 30, 31] dp->[56] pp->[16] used 16
# panel 25: ep->[24, 26, 27, 28, 29, 30, 31] dp->[57] pp->[17] used 16
# panel 26: ep->[24, 25, 27, 28, 29, 30, 31] dp->[58] pp->[18] used 16
# panel 27: ep->[24, 25, 26, 28, 29, 30, 31] dp->[59] pp->[19] used 16
# panel 28: ep->[24, 25, 26, 27, 29, 30, 31] dp->[60] pp->[20] used 16
# panel 29: ep->[24, 25, 26, 27, 28, 30, 31] dp->[61] pp->[21] used 16
# panel 30: ep->[24, 25, 26, 27, 28, 29, 31] dp->[62] pp->[22] used 15
# panel 31: ep->[24, 25, 26, 27, 28, 29, 30] dp->[63] pp->[23] used 15
# panel 32: ep->[33, 34, 35, 36, 37, 38, 39] dp->[0] pp->[40] used 16
# panel 33: ep->[32, 34, 35, 36, 37, 38, 39] dp->[1] pp->[41] used 16
# panel 34: ep->[32, 33, 35, 36, 37, 38, 39] dp->[2] pp->[42] used 16
# panel 35: ep->[32, 33, 34, 36, 37, 38, 39] dp->[3] pp->[43] used 16
# panel 36: ep->[32, 33, 34, 35, 37, 38, 39] dp->[4] pp->[44] used 16
# panel 37: ep->[32, 33, 34, 35, 36, 38, 39] dp->[5] pp->[45] used 16
# panel 38: ep->[32, 33, 34, 35, 36, 37, 39] dp->[6] pp->[46] used 15
# panel 39: ep->[32, 33, 34, 35, 36, 37, 38] dp->[7] pp->[47] used 15
# panel 40: ep->[41, 42, 43, 44, 45, 46, 47] dp->[8] pp->[32, 48] used 17
# panel 41: ep->[40, 42, 43, 44, 45, 46, 47] dp->[9] pp->[33, 49] used 17
# panel 42: ep->[40, 41, 43, 44, 45, 46, 47] dp->[10] pp->[34, 50] used 17
# panel 43: ep->[40, 41, 42, 44, 45, 46, 47] dp->[11] pp->[35, 51] used 17
# panel 44: ep->[40, 41, 42, 43, 45, 46, 47] dp->[12] pp->[36, 52] used 17
# panel 45: ep->[40, 41, 42, 43, 44, 46, 47] dp->[13] pp->[37, 53] used 17
# panel 46: ep->[40, 41, 42, 43, 44, 45, 47] dp->[14] pp->[38, 54] used 16
# panel 47: ep->[40, 41, 42, 43, 44, 45, 46] dp->[15] pp->[39, 55] used 16
# panel 48: ep->[49, 50, 51, 52, 53, 54, 55] dp->[16] pp->[40, 56] used 17
# panel 49: ep->[48, 50, 51, 52, 53, 54, 55] dp->[17] pp->[41, 57] used 17
# panel 50: ep->[48, 49, 51, 52, 53, 54, 55] dp->[18] pp->[42, 58] used 17
# panel 51: ep->[48, 49, 50, 52, 53, 54, 55] dp->[19] pp->[43, 59] used 17
# panel 52: ep->[48, 49, 50, 51, 53, 54, 55] dp->[20] pp->[44, 60] used 17
# panel 53: ep->[48, 49, 50, 51, 52, 54, 55] dp->[21] pp->[45, 61] used 17
# panel 54: ep->[48, 49, 50, 51, 52, 53, 55] dp->[22] pp->[46, 62] used 16
# panel 55: ep->[48, 49, 50, 51, 52, 53, 54] dp->[23] pp->[47, 63] used 16
# panel 56: ep->[57, 58, 59, 60, 61, 62, 63] dp->[24] pp->[48] used 16
# panel 57: ep->[56, 58, 59, 60, 61, 62, 63] dp->[25] pp->[49] used 16
# panel 58: ep->[56, 57, 59, 60, 61, 62, 63] dp->[26] pp->[50] used 16
# panel 59: ep->[56, 57, 58, 60, 61, 62, 63] dp->[27] pp->[51] used 16
# panel 60: ep->[56, 57, 58, 59, 61, 62, 63] dp->[28] pp->[52] used 16
# panel 61: ep->[56, 57, 58, 59, 60, 62, 63] dp->[29] pp->[53] used 16
# panel 62: ep->[56, 57, 58, 59, 60, 61, 63] dp->[30] pp->[54] used 15
# panel 63: ep->[56, 57, 58, 59, 60, 61, 62] dp->[31] pp->[55] used 15
0 1 2
0 2 2
0 3 2
0 4 2
0 5 2
0 6 2
0 7 2
0 8 1
0 32 1
1 2 2
1 3 2
1 4 2
1 5 2
1 6 2
1 7 2
1 9 1
1 33 1
2 3 2
2 4 2
2 5 2
2 6 2
2 7 2
2 10 1
2 34 1
3 4 2
3 5 2
3 6 2
3 7 2
3 11 1
3 35 1
4 5 2
4 6 2
4 7 2
4 12 1
4 36 1
5 6 2
5 7 2
5 13 1
5 37 1
6 7 1
6 14 1
6 38 1
7 15 1
7 39 1
8 9 2
8 10 2
8 11 2
8 12 2
8 13 2
8 14 2
8 15 2
8 16 1
8 40 1
9 10 2
9 11 2
9 12 2
9 13 2
9 14 2
9 15 2
9 17 1
9 41 1
10 11 2
10 12 2
10 13 2
10 14 2
10 15 2
10 18 1
10 42 1
11 12 2
11 13 2
11 14 2
11 15 2
11 19 1
11 43 1
12 13 2
12 14 2
12 15 2
12 20 1
12 44 1
13 14 2
13 15 2
13 21 1
13 45 1
14 15 1
14 22 1
14 46 1
15 23 1
15 47 1
16 17 2
16 18 2
16 19 2
16 20 2
16 21 2
16 22 2
16 23 2
16 24 1
16 48 1
17 18 2
17 19 2
17 20 2
17 21 2
17 22 2
17 23 2
17 25 1
17 49 1
18 19 2
18 20 2
18 21 2
18 22 2
18 23 2
18 26 1
18 50 1
19 20 2
19 21 2
19 22 2
19 23 2
19 27 1
19 51 1
20 21 2
20 22 2
20 23 2
20 28 1
20 52 1
21 22 2
21 23 2
21 29 1
21 53 1
22 23 1
22 30 1
22 54 1
23 31 1
23 55 1
24 25 2
24 26 2
24 27 2
24 28 2
24 29 2
24 30 2
24 31 2
24 56 1
25 26 2
25 27 2
25 28 2
25 29 2
25 30 2
25 31 2
25 57 1
26 27 2
26 28 2
26 29 2
26 30 2
26 31 2
26 58 1
27 28 2
27 29 2
27 30 2
27 31 2
27 59 1
28 29 2
28 30 2
28 31 2
28 60 1
29 30 2
29 31 2
29 61 1
30 31 1
30 62 1
31 63 1
32 33 2
32 34 2
32 35 2
32 36 2
32 37 2
32 38 2
32 39 2
32 40 1
33 34 2
33 35 2
33 36 2
33 37 2
33 38 2
33 39 2
33 41 1
34 35 2
34 36 2
34 37 2
34 38 2
34 39 2
34 42 1
35 36 2
35 37 2
35 38 2
35 39 2
35 43 1
36 37 2
36 38 2
36 39 2
36 44 1
37 38 2
37 39 2
37 45 1
38 39 1
38 46 1
39 47 1
40 41 2
40 42 2
40 43 2
40 44 2
40 45 2
40 46 2
40 47 2
40 48 1
41 42 2
41 43 2
41 44 2
41 45 2
41 46 2
41 47 2
41 49 1
42 43 2
42 44 2
42 45 2
42 46 2
42 47 2
42 50 1
43 44 2
43 45 2
43 46 2
43 47 2
43 51 1
44 45 2
44 46 2
44 47 2
44 52 1
45 46 2
45 47 2
45 53 1
46 47 1
46 54 1
47 55 1
48 49 2
48 50 2
48 51 2
48 52 2
48 53 2
48 54 2
48 55 2
48 56 1
49 50 2
49 51 2
49 52 2
49 53 2
49 54 2
49 55 2
49 57 1
50 51 2
50 52 2
50 53 2
50 54 2
50 55 2
50 58 1
51 52 2
51 53 2
51 54 2
51 55 2
51 59 1
52 53 2
52 54 2
52 55 2
52 60 1
53 54 2
53 55 2
53 61 1
54 55 1
54 62 1
55 63 1
56 57 2
56 58 2
56 59 2
56 60 2
56 61 2
56 62 2
56 63 2
57 58 2
57 59 2
57 60 2
57 61 2
57 62 2
57 63 2
58 59 2
58 60 2
58 61 2
58 62 2
58 63 2
59 60 2
59 61 2
59 62 2
59 63 2
60 61 2
60 62 2
60 63 2
61 62 2
61 63 2
62 63 1
