workload,ep,nodes,topology,bw_gbps,makespan_ps,makespan_ms,rtos
decode,32,32,fattree,400,909589372,0.910,0
decode,64,64,fattree,400,823313602,0.823,0
decode,32,32,flat,400,488723036,0.489,0
decode,64,64,flat,400,410025604,0.410,0
decode,32,32,fattree,800,777976496,0.778,0
decode,64,64,fattree,800,743547057,0.744,0
decode,32,32,flat,800,488319518,0.488,0
decode,64,64,flat,800,409606290,0.410,0
decode,32,32,fattree,1600,1195916000,1.196,0
decode,64,64,fattree,1600,1651186976,1.651,0
decode,32,32,flat,1600,487916000,0.488,0
decode,64,64,flat,1600,409186976,0.409,0
coding_prefill,32,32,fattree,400,6393472616,6.393,0
coding_prefill,64,64,fattree,400,7042643488,7.043,0
coding_prefill,32,32,flat,400,2677226996,2.677,0
coding_prefill,64,64,flat,400,2291294244,2.291,0
coding_prefill,32,32,fattree,800,5073065124,5.073,0
coding_prefill,64,64,fattree,800,4910092652,4.910,0
coding_prefill,32,32,flat,800,2542303570,2.542,0
coding_prefill,64,64,flat,800,2150845874,2.151,0
coding_prefill,32,32,fattree,1600,24462678016,24.463,0
coding_prefill,64,64,fattree,1600,34010025024,34.010,0
coding_prefill,32,32,flat,1600,2540678016,2.541,0
coding_prefill,64,64,flat,1600,2149025024,2.149,0
chat_prefill,32,32,fattree,400,2471688932,2.472,0
chat_prefill,64,64,fattree,400,2381002128,2.381,0
chat_prefill,32,32,flat,400,1062130548,1.062,0
chat_prefill,64,64,flat,400,887907572,0.888,0
chat_prefill,32,32,fattree,800,2340628520,2.341,0
chat_prefill,64,64,fattree,800,2237167463,2.237,0
chat_prefill,32,32,flat,800,1061093754,1.061,0
chat_prefill,64,64,flat,800,886859290,0.887,0
chat_prefill,32,32,fattree,1600,6633056960,6.633,0
chat_prefill,64,64,fattree,1600,8976811008,8.977,0
chat_prefill,32,32,flat,1600,1060056960,1.060,0
chat_prefill,64,64,flat,1600,885811008,0.886,0
agentic_prefill,32,32,fattree,400,12047132434,12.047,0
agentic_prefill,64,64,fattree,400,12868426524,12.868,0
agentic_prefill,32,32,flat,400,4990726276,4.991,0
agentic_prefill,64,64,flat,400,3732236804,3.732,0
agentic_prefill,32,32,fattree,800,8383746162,8.384,0
agentic_prefill,64,64,fattree,800,7871366837,7.871,0
agentic_prefill,32,32,flat,800,4363425414,4.363,0
agentic_prefill,64,64,flat,800,3086435170,3.086,0
agentic_prefill,32,32,fattree,1600,43855468928,43.855,0
agentic_prefill,64,64,fattree,1600,64358301056,64.358,0
agentic_prefill,32,32,flat,1600,4360468928,4.360,0
agentic_prefill,64,64,flat,1600,3083301056,3.083,0
