arm,mtu,q,queue_bytes,inter_bw,shortcut,makespan_ps,makespan_ms,rtos
isobyte,1500,10000,14360000,2000,ENABLED,46028299484,46.028,68
isobyte,9000,1596,14261856,2000,ENABLED,27101099094,27.101,2662
isobyte,1500,10000,14360000,2400,ENABLED,6448818088,6.449,0
isobyte,9000,1596,14261856,2400,ENABLED,24151285616,24.151,1345
ladder,1500,12000,17232000,2000,ENABLED,7281361684,7.281,0
ladder,1500,14000,20104000,2000,ENABLED,7393586768,7.394,0
ladder,1500,16000,22976000,2000,ENABLED,7393586768,7.394,0
ladder,1500,18000,25848000,2000,ENABLED,7393586768,7.394,0
ladder,1500,20000,28720000,2000,ENABLED,7393586768,7.394,0
ladder,1500,40000,57440000,2000,ENABLED,7393586768,7.394,0
confounded,9000,10000,89360000,2000,ENABLED,6397226960,6.397,0
