arm,mb,inter_mode,opt_bw,inter_bw,gw_parallel,makespan_ps,makespan_ms,rtos
armA,4,fb2,400,200,1,85252409133,85.252,0
armA,4,fb2,512,200,1,84971905250,84.972,0
armA,4,fb2,640,200,1,84971905250,84.972,0
armA,4,fb2,896,200,1,84971905250,84.972,0
armA,8,fb2,400,200,1,97883264574,97.883,0
armA,8,fb2,512,200,1,97254039221,97.254,0
armA,8,fb2,640,200,1,97254039221,97.254,0
armA,8,fb2,896,200,1,97254039221,97.254,0
armA,16,fb2,400,200,1,186612848183,186.613,0
armA,16,fb2,512,200,1,185651597456,185.652,0
armA,16,fb2,640,200,1,185651597456,185.652,0
armA,16,fb2,896,200,1,185651597456,185.652,0
armA,32,fb2,400,200,1,365189889197,365.190,0
armA,32,fb2,512,200,1,366873788250,366.874,0
armA,32,fb2,640,200,1,366873788250,366.874,0
armA,32,fb2,896,200,1,366873788250,366.874,0
armB,4,mesh,640,1600,4,84968209240,84.968,0
armB,8,mesh,640,1600,4,85664743023,85.665,0
armB,16,mesh,640,1600,4,87011490197,87.011,0
armB,32,mesh,640,1600,4,96766573074,96.767,0
