arm,mb,shortcut,inter_mode,opt_bw,inter_bw,gw_parallel,banner,makespan_ps,makespan_ms,rtos
armA,16,off,fb2,400,200,1,DISABLED,187402988796,187.403,0
armA,16,off,fb2,512,200,1,DISABLED,185236792040,185.237,0
armA,16,off,fb2,640,200,1,DISABLED,185236792040,185.237,0
armA,16,off,fb2,896,200,1,DISABLED,185236792040,185.237,0
armA,16,on,fb2,400,200,1,ENABLED,186612848183,186.613,0
armA,16,on,fb2,512,200,1,ENABLED,185651597456,185.652,0
armA,16,on,fb2,640,200,1,ENABLED,185651597456,185.652,0
armA,16,on,fb2,896,200,1,ENABLED,185651597456,185.652,0
armA,4,off,fb2,400,200,1,DISABLED,85250122671,85.250,0
armA,4,off,fb2,512,200,1,DISABLED,84975205942,84.975,0
armA,4,off,fb2,640,200,1,DISABLED,84975205942,84.975,0
armA,4,off,fb2,896,200,1,DISABLED,84975205942,84.975,0
armA,8,off,fb2,400,200,1,DISABLED,98077696755,98.078,0
armA,8,off,fb2,512,200,1,DISABLED,97247431669,97.247,0
armA,8,off,fb2,640,200,1,DISABLED,97247431669,97.247,0
armA,8,off,fb2,896,200,1,DISABLED,97247431669,97.247,0
armA,32,off,fb2,400,200,1,DISABLED,366544036012,366.544,0
armA,32,off,fb2,512,200,1,DISABLED,367178980475,367.179,0
armA,32,off,fb2,640,200,1,DISABLED,367178980475,367.179,0
armA,32,off,fb2,896,200,1,DISABLED,367178980475,367.179,0
