workload_type,ep_source,q,queue_bytes,bdp_ratio_intra,bdp_ratio_inter,rto_min_us,inter_bw,shortcut,makespan_ps,makespan_ms,rtos,rto_waves
inference,llmservingsim_deepseekv3_1layer,1000,1436000,3.9,0.8,100,1600,DISABLED,13052135807,13.052,3776,10
inference,llmservingsim_deepseekv3_1layer,1000,1436000,3.9,0.8,100,2000,DISABLED,13052135807,13.052,3776,10
inference,llmservingsim_deepseekv3_1layer,1000,1436000,3.9,0.8,100,2400,DISABLED,13816343928,13.816,2217,11
inference,llmservingsim_deepseekv3_1layer,1000,1436000,3.9,0.8,100,3200,DISABLED,13816343928,13.816,2217,11
inference,llmservingsim_deepseekv3_1layer,1000,1436000,3.9,0.8,1000,1600,DISABLED,14746933467,14.747,3776,9
inference,llmservingsim_deepseekv3_1layer,1000,1436000,3.9,0.8,1000,2000,DISABLED,14746933467,14.747,3776,9
inference,llmservingsim_deepseekv3_1layer,1000,1436000,3.9,0.8,1000,2400,DISABLED,13173829507,13.174,2217,9
inference,llmservingsim_deepseekv3_1layer,1000,1436000,3.9,0.8,1000,3200,DISABLED,13173829507,13.174,2217,9
inference,llmservingsim_deepseekv3_1layer,2000,2872000,7.8,1.7,100,1600,DISABLED,14146824194,14.147,2828,11
inference,llmservingsim_deepseekv3_1layer,2000,2872000,7.8,1.7,100,2000,DISABLED,14146824194,14.147,2828,11
inference,llmservingsim_deepseekv3_1layer,2000,2872000,7.8,1.7,100,2400,DISABLED,13213523098,13.214,1292,11
inference,llmservingsim_deepseekv3_1layer,2000,2872000,7.8,1.7,100,3200,DISABLED,13213523098,13.214,1292,11
inference,llmservingsim_deepseekv3_1layer,2000,2872000,7.8,1.7,1000,1600,DISABLED,15048690814,15.049,2828,9
inference,llmservingsim_deepseekv3_1layer,2000,2872000,7.8,1.7,1000,2000,DISABLED,15048690814,15.049,2828,9
inference,llmservingsim_deepseekv3_1layer,2000,2872000,7.8,1.7,1000,2400,DISABLED,12540011430,12.540,1292,8
inference,llmservingsim_deepseekv3_1layer,2000,2872000,7.8,1.7,1000,3200,DISABLED,12540011430,12.540,1292,8
inference,llmservingsim_deepseekv3_1layer,5000,7180000,19.5,4.2,100,1600,DISABLED,11690301651,11.690,1156,5
inference,llmservingsim_deepseekv3_1layer,5000,7180000,19.5,4.2,100,2000,DISABLED,11690301651,11.690,1156,5
inference,llmservingsim_deepseekv3_1layer,5000,7180000,19.5,4.2,100,2400,DISABLED,12089729187,12.090,187,9
inference,llmservingsim_deepseekv3_1layer,5000,7180000,19.5,4.2,100,3200,DISABLED,12089729187,12.090,187,9
inference,llmservingsim_deepseekv3_1layer,5000,7180000,19.5,4.2,1000,1600,DISABLED,13022799829,13.023,1156,7
inference,llmservingsim_deepseekv3_1layer,5000,7180000,19.5,4.2,1000,2000,DISABLED,13022799829,13.023,1156,7
inference,llmservingsim_deepseekv3_1layer,5000,7180000,19.5,4.2,1000,2400,DISABLED,13088615666,13.089,187,9
inference,llmservingsim_deepseekv3_1layer,5000,7180000,19.5,4.2,1000,3200,DISABLED,13088615666,13.089,187,9
