workload,ep,nodes,config,domain,intra_bw,scaleout_bw,makespan_ps,makespan_ms,rtos
decode,8,8,nvl4_dom8,8,450,50,1120417460,1.120,0
decode,8,8,nvl5_dom64,64,900,100,1120346759,1.120,0
decode,8,8,glassfb,16,640,1600,1120346759,1.120,0
decode,16,16,nvl4_dom8,8,450,50,2136889436,2.137,0
decode,16,16,nvl5_dom64,64,900,100,688998640,0.689,0
decode,16,16,glassfb,16,640,1600,623149816,0.623,0
decode,32,32,nvl4_dom8,8,450,50,2081109820,2.081,0
decode,32,32,nvl5_dom64,64,900,100,503310362,0.503,0
decode,32,32,glassfb,16,640,1600,768371395,0.768,0
decode,64,64,nvl4_dom8,8,450,50,1643023308,1.643,0
decode,64,64,nvl5_dom64,64,900,100,358606290,0.359,0
decode,64,64,glassfb,16,640,1600,776714210,0.777,0
coding_prefill,8,8,nvl4_dom8,8,450,50,4286690772,4.287,0
coding_prefill,8,8,nvl5_dom64,64,900,100,4286620071,4.287,0
coding_prefill,8,8,glassfb,16,640,1600,4286620071,4.287,0
coding_prefill,16,16,nvl4_dom8,8,450,50,51666484884,51.666,0
coding_prefill,16,16,nvl5_dom64,64,900,100,3859284592,3.859,0
coding_prefill,16,16,glassfb,16,640,1600,3263868362,3.264,0
coding_prefill,32,32,nvl4_dom8,8,450,50,54590119924,54.590,0
coding_prefill,32,32,nvl5_dom64,64,900,100,2817048250,2.817,0
coding_prefill,32,32,glassfb,16,640,1600,8548107730,8.548,0
coding_prefill,64,64,nvl4_dom8,8,450,50,43617026372,43.617,0
coding_prefill,64,64,nvl5_dom64,64,900,100,1709159634,1.709,0
coding_prefill,64,64,glassfb,16,640,1600,23711448605,23.711,186
chat_prefill,8,8,nvl4_dom8,8,450,50,1566472819,1.566,0
chat_prefill,8,8,nvl5_dom64,64,900,100,1566402118,1.566,0
chat_prefill,8,8,glassfb,16,640,1600,1566402118,1.566,0
chat_prefill,16,16,nvl4_dom8,8,450,50,13330896020,13.331,0
chat_prefill,16,16,nvl5_dom64,64,900,100,1511934640,1.512,0
chat_prefill,16,16,glassfb,16,640,1600,1348147466,1.348,0
chat_prefill,32,32,nvl4_dom8,8,450,50,13924721444,13.925,0
chat_prefill,32,32,nvl5_dom64,64,900,100,1105149020,1.105,0
chat_prefill,32,32,glassfb,16,640,1600,2514326884,2.514,0
chat_prefill,64,64,nvl4_dom8,8,450,50,11046102740,11.046,0
chat_prefill,64,64,nvl5_dom64,64,900,100,660359290,0.660,0
chat_prefill,64,64,glassfb,16,640,1600,2290874027,2.291,0
agentic_prefill,8,8,nvl4_dom8,8,450,50,8337324640,8.337,0
agentic_prefill,8,8,nvl5_dom64,64,900,100,8337253939,8.337,0
agentic_prefill,8,8,glassfb,16,640,1600,8337253939,8.337,0
agentic_prefill,16,16,nvl4_dom8,8,450,50,103280472724,103.280,0
agentic_prefill,16,16,nvl5_dom64,64,900,100,7262507556,7.263,0
agentic_prefill,16,16,glassfb,16,640,1600,6324446730,6.324,0
agentic_prefill,32,32,nvl4_dom8,8,450,50,108912436020,108.912,0
agentic_prefill,32,32,nvl5_dom64,64,900,100,5120362225,5.120,0
agentic_prefill,32,32,glassfb,16,640,1600,16676723988,16.677,0
agentic_prefill,64,64,nvl4_dom8,8,450,50,86535725668,86.536,0
agentic_prefill,64,64,nvl5_dom64,64,900,100,2653268930,2.653,0
agentic_prefill,64,64,glassfb,16,640,1600,24993021747,24.993,163
