workload,ep,nodes,config,domain,intra_bw,inter_bw,G,makespan_ps,makespan_ms,rtos
decode,8,8,glassfb_384_3200,16,384,3200,4,1120346759,1.120,0
decode,16,16,glassfb_384_3200,16,384,3200,4,632330312,0.632,0
decode,32,32,glassfb_384_3200,16,384,3200,4,685031257,0.685,0
decode,64,64,glassfb_384_3200,16,384,3200,4,781638627,0.782,0
coding_prefill,8,8,glassfb_384_3200,16,384,3200,4,4286679252,4.287,0
coding_prefill,16,16,glassfb_384_3200,16,384,3200,4,3715734252,3.716,0
coding_prefill,32,32,glassfb_384_3200,16,384,3200,4,5336423674,5.336,0
coding_prefill,64,64,glassfb_384_3200,16,384,3200,4,6448818088,6.449,0
chat_prefill,8,8,glassfb_384_3200,16,384,3200,4,1566461299,1.566,0
chat_prefill,16,16,glassfb_384_3200,16,384,3200,4,1393773808,1.394,0
chat_prefill,32,32,glassfb_384_3200,16,384,3200,4,1746618367,1.747,0
chat_prefill,64,64,glassfb_384_3200,16,384,3200,4,2056840752,2.057,0
agentic_prefill,8,8,glassfb_384_3200,16,384,3200,4,8337313120,8.337,0
agentic_prefill,16,16,glassfb_384_3200,16,384,3200,4,7349806540,7.350,0
agentic_prefill,32,32,glassfb_384_3200,16,384,3200,4,10323611202,10.324,0
agentic_prefill,64,64,glassfb_384_3200,16,384,3200,4,11698443723,11.698,0
