workload,ep,panels,tokens,bytes_total,glassfb_hops_per_byte,fattree_hops_per_byte,glassfb_J_per_iter,fattree_J_per_iter,glassfb_uJ_per_token,fattree_uJ_per_token,energy_advantage_x
agentic_prefill_ep128,128,8,63744,1860304896,3.717,5.717,0.063303,0.64264,0.9931,10.0816,10.15
agentic_prefill_ep144,144,9,63936,1865908224,3.748,5.608,0.064072,0.614628,1.0021,9.6132,9.59
agentic_prefill_ep16,16,1,52864,1542782976,1.6,5.467,0.02057,0.490399,0.3891,9.2766,23.84
agentic_prefill_ep32,32,2,58784,1715552256,2.323,5.355,0.035506,0.513559,0.604,8.7364,14.46
agentic_prefill_ep64,64,4,62080,1811742720,2.921,5.429,0.048083,0.554911,0.7745,8.9386,11.54
agentic_prefill_ep8,8,1,43016,1255378944,1.143,4.857,0.009469,0.30416,0.2201,7.0709,32.12
chat_prefill_ep128,128,8,7936,231604224,3.717,5.717,0.007881,0.080007,0.9931,10.0816,10.15
chat_prefill_ep144,144,9,8064,235339776,3.748,5.608,0.008081,0.077521,1.0021,9.6132,9.59
chat_prefill_ep16,16,1,6608,192847872,1.6,5.467,0.002571,0.0613,0.3891,9.2766,23.84
chat_prefill_ep32,32,2,7360,214794240,2.323,5.355,0.004446,0.0643,0.604,8.7364,14.46
chat_prefill_ep64,64,4,7744,226000896,2.921,5.429,0.005998,0.069221,0.7745,8.9386,11.54
chat_prefill_ep8,8,1,5376,156893184,1.143,4.857,0.001183,0.038013,0.2201,7.0709,32.12
coding_prefill_ep128,128,8,31872,930152448,3.717,5.717,0.031652,0.32132,0.9931,10.0816,10.15
coding_prefill_ep144,144,9,31968,932954112,3.748,5.608,0.032036,0.307314,1.0021,9.6132,9.59
coding_prefill_ep16,16,1,26432,771391488,1.6,5.467,0.010285,0.2452,0.3891,9.2766,23.84
coding_prefill_ep32,32,2,29408,858243072,2.323,5.355,0.017763,0.256919,0.604,8.7364,14.46
coding_prefill_ep64,64,4,31040,905871360,2.921,5.429,0.024042,0.277455,0.7745,8.9386,11.54
coding_prefill_ep8,8,1,21512,627806208,1.143,4.857,0.004735,0.152108,0.2201,7.0709,32.12
decode_ep128,128,8,1024,29884416,3.717,5.717,0.001017,0.010324,0.9931,10.0816,10.15
decode_ep144,144,9,1008,29417472,3.748,5.608,0.00101,0.00969,1.0021,9.6132,9.59
decode_ep16,16,1,832,24281088,1.6,5.467,0.000324,0.007718,0.3891,9.2766,23.84
decode_ep32,32,2,928,27082752,2.323,5.355,0.000561,0.008107,0.604,8.7364,14.46
decode_ep64,64,4,960,28016640,2.921,5.429,0.000744,0.008581,0.7745,8.9386,11.54
decode_ep8,8,1,672,19611648,1.143,4.857,0.000148,0.004752,0.2201,7.0709,32.12
mixtral_agentic_prefill_ep8,8,1,15360,251904000,1.143,4.857,0.0019,0.061033,0.1237,3.9735,32.12
mixtral_chat_prefill_ep8,8,1,1920,31488000,1.143,4.857,0.000238,0.007629,0.1237,3.9735,32.12
mixtral_coding_prefill_ep8,8,1,7680,125952000,1.143,4.857,0.00095,0.030516,0.1237,3.9735,32.12
mixtral_decode_ep8,8,1,240,3936000,1.143,4.857,3e-05,0.000954,0.1237,3.9735,32.12
