model,nodes,intra_bw,inter_bw,panel,makespan_ps,makespan_ms
llamaMoE,128,512,25,16,701671147759,701.671
llamaMoE,128,512,50,16,354406360755,354.406
llamaMoE,128,512,100,16,180178584855,180.179
llamaMoE,128,512,150,16,114195363814,114.195
llamaMoE,128,512,200,16,104522925037,104.523
llamaMoE,128,512,200,16,104522925037,104.523
llamaMoE,128,512,300,16,91270802291,91.271
llamaMoE,128,512,300,16,91270802291,91.271
llamaMoE,128,512,400,16,89423685641,89.424
llamaMoE,128,512,400,16,89423685641,89.424
llamaMoE,128,512,512,16,89423697203,89.424
llamaMoE,128,512,512,16,89423697203,89.424
llamaMoE,128,512,768,16,89423697203,89.424
llamaMoE,128,512,768,16,89423697203,89.424
llamaMoE,128,512,1024,16,89625088958,89.625
llamaMoE,128,512,1024,16,89625088958,89.625
