model,nodes,ep,topology,link_gbps,makespan_ps,makespan_ms
mixtral8x7B,256,8,fattree,400,231458923506,231.459
mixtral8x7B,256,8,os_fattree,400,0,0.000
mixtral8x7B,256,8,flat,400,200453248480,200.453
mixtral8x7B,256,8,mixnet,400,437427295546,437.427
mixtral8x7B,256,8,fattree,800,217907312830,217.907
mixtral8x7B,256,8,os_fattree,800,0,0.000
mixtral8x7B,256,8,flat,800,197453254310,197.453
mixtral8x7B,256,8,mixnet,800,385205235905,385.205
mixtral8x7B,256,8,glass_fb,4096,0,0.000
llamaMoE,128,16,fattree,400,279269440241,279.269
llamaMoE,128,16,os_fattree,400,279269440241,279.269
llamaMoE,128,16,flat,400,137687818655,137.688
llamaMoE,128,16,mixnet,400,0,0.000
llamaMoE,128,16,fattree,800,170146052583,170.146
llamaMoE,128,16,os_fattree,800,170146052583,170.146
llamaMoE,128,16,flat,800,107150339866,107.150
llamaMoE,128,16,mixnet,800,0,0.000
llamaMoE,128,16,glass_fb,4096,0,0.000
llamaMoE,128,16,fattree,400,485416377283,485.416
llamaMoE,128,16,os_fattree,400,485416377283,485.416
llamaMoE,128,16,flat,400,198712914507,198.713
llamaMoE,128,16,mixnet,400,0,0.000
llamaMoE,128,16,fattree,800,270988347290,270.988
llamaMoE,128,16,os_fattree,800,270988347290,270.988
llamaMoE,128,16,flat,800,137665375001,137.665
llamaMoE,128,16,mixnet,800,0,0.000
llamaMoE,128,16,glass_fb,4096,369703713089,369.704
llamaMoE,128,16,fattree,400,120718163367,120.718
llamaMoE,128,16,os_fattree,400,120718163367,120.718
llamaMoE,128,16,flat,400,94538796170,94.539
llamaMoE,128,16,mixnet,400,0,0.000
llamaMoE,128,16,fattree,800,99511741510,99.512
llamaMoE,128,16,os_fattree,800,99511741510,99.512
llamaMoE,128,16,flat,800,88952217513,88.952
llamaMoE,128,16,mixnet,800,0,0.000
mixtral8x7B,256,8,fattree,400,231458923506,231.459
mixtral8x7B,256,8,os_fattree,400,0,0.000
mixtral8x7B,256,8,flat,400,200453248480,200.453
mixtral8x7B,256,8,mixnet,400,437427295546,437.427
mixtral8x7B,256,8,fattree,800,217907312830,217.907
mixtral8x7B,256,8,os_fattree,800,0,0.000
mixtral8x7B,256,8,flat,800,197453254310,197.453
mixtral8x7B,256,8,mixnet,800,385205235905,385.205
mixtral8x7B,256,8,glass_fb,4096,195535159450,195.535
llamaMoE,128,16,fattree,400,279269440241,279.269
llamaMoE,128,16,os_fattree,400,279269440241,279.269
llamaMoE,128,16,flat,400,137687818655,137.688
llamaMoE,128,16,mixnet,400,0,0.000
llamaMoE,128,16,fattree,800,170146052583,170.146
llamaMoE,128,16,os_fattree,800,170146052583,170.146
llamaMoE,128,16,flat,800,107150339866,107.150
llamaMoE,128,16,mixnet,800,0,0.000
llamaMoE,128,16,glass_fb,4096,191918593456,191.919
llamaMoE,128,16,fattree,400,485416377283,485.416
llamaMoE,128,16,os_fattree,400,485416377283,485.416
llamaMoE,128,16,flat,400,198712914507,198.713
llamaMoE,128,16,mixnet,400,0,0.000
llamaMoE,128,16,fattree,800,270988347290,270.988
llamaMoE,128,16,os_fattree,800,270988347290,270.988
llamaMoE,128,16,flat,800,137665375001,137.665
llamaMoE,128,16,mixnet,800,0,0.000
llamaMoE,128,16,glass_fb,4096,369703713089,369.704
llamaMoE,128,16,fattree,400,120718163367,120.718
llamaMoE,128,16,os_fattree,400,120718163367,120.718
llamaMoE,128,16,flat,400,94538796170,94.539
llamaMoE,128,16,mixnet,400,0,0.000
llamaMoE,128,16,fattree,800,99511741510,99.512
llamaMoE,128,16,os_fattree,800,99511741510,99.512
llamaMoE,128,16,flat,800,88952217513,88.952
llamaMoE,128,16,mixnet,800,0,0.000
llamaMoE,128,16,glass_fb,4096,85248007847,85.248
llamaMoE,128,16,fattree,400,163945048322,163.945
llamaMoE,128,16,os_fattree,400,163945048322,163.945
llamaMoE,128,16,flat,400,107218913972,107.219
llamaMoE,128,16,mixnet,400,0,0.000
llamaMoE,128,16,fattree,800,122385227976,122.385
llamaMoE,128,16,os_fattree,800,122385227976,122.385
llamaMoE,128,16,flat,800,94419880510,94.420
llamaMoE,128,16,mixnet,800,0,0.000
llamaMoE,128,16,glass_fb,4096,98528994617,98.529
