model,nodes,ep,microbatch,topology,link_gbps,makespan_ps,makespan_ms
llamaMoE,128,16,16,fattree,400,279269440241,279.269
llamaMoE,128,16,16,os_fattree,400,279269440241,279.269
llamaMoE,128,16,16,flat,400,137687818655,137.688
llamaMoE,128,16,16,mixnet,400,0,0.000
llamaMoE,128,16,16,fattree,800,170146052583,170.146
llamaMoE,128,16,16,os_fattree,800,170146052583,170.146
llamaMoE,128,16,16,flat,800,107150339866,107.150
llamaMoE,128,16,16,mixnet,800,0,0.000
llamaMoE,128,16,16,glass_fb,4096,191918593456,191.919
llamaMoE,128,16,32,fattree,400,485416377283,485.416
llamaMoE,128,16,32,os_fattree,400,485416377283,485.416
llamaMoE,128,16,32,flat,400,198712914507,198.713
llamaMoE,128,16,32,mixnet,400,0,0.000
llamaMoE,128,16,32,fattree,800,270988347290,270.988
llamaMoE,128,16,32,os_fattree,800,270988347290,270.988
llamaMoE,128,16,32,flat,800,137665375001,137.665
llamaMoE,128,16,32,mixnet,800,0,0.000
llamaMoE,128,16,32,glass_fb,4096,369703713089,369.704
llamaMoE,128,16,4,fattree,400,120718163367,120.718
llamaMoE,128,16,4,os_fattree,400,120718163367,120.718
llamaMoE,128,16,4,flat,400,94538796170,94.539
llamaMoE,128,16,4,mixnet,400,0,0.000
