model,mb,fabric,nodes,intra_bw,inter_bw,panel,makespan_ps,makespan_ms
mixtral8x22B,8,glass,128,512,512,16,154048424173,154.0484
mixtral8x22B,8,nvl72,128,450,50,8,181582165574,181.5822
mixtral8x22B,8,ideal,128,100000,100000,16,175058713314,175.0587
mixtral8x22B,16,glass,128,512,512,16,157498033871,157.4980
mixtral8x22B,16,nvl72,128,450,50,8,212105478902,212.1055
mixtral8x22B,16,ideal,128,100000,100000,16,202023243494,202.0232
mixtral8x22B,32,glass,128,512,512,16,163602161863,163.6022
mixtral8x22B,32,nvl72,128,450,50,8,271903653711,271.9037
mixtral8x22B,32,ideal,128,100000,100000,16,254299226163,254.2992
mixtral8x22B,64,glass,128,512,512,16,175717230755,175.7172
mixtral8x22B,64,nvl72,128,450,50,8,392364479077,392.3645
mixtral8x22B,64,ideal,128,100000,100000,16,361452225145,361.4522
mixtral8x22B,8,gb200,128,900,50,64,152096089288,152.0961
mixtral8x22B,16,gb200,128,900,50,64,153576655368,153.5767
mixtral8x22B,32,gb200,128,900,50,64,156048353993,156.0484
mixtral8x22B,64,gb200,128,900,50,64,161425751639,161.4258
