model,nodes,topology,link_gbps,makespan_ps,makespan_ms
llamaMoE,128,fattree,400,245051894925,245.052
llamaMoE,128,fc,400,86384434891,86.384
llamaMoE,128,glass_optical,4096,89423697203,89.424
llamaMoE,128,glass_atIB,400,364017594660,364.018
llamaMoE,128,glass_optical,4096,89423697203,89.424
llamaMoE,128,glass_atIB,400,364017594660,364.018
mixtral8x7B,256,fattree,400,233433591394,233.434
mixtral8x7B,256,fc,400,195994006204,195.994
mixtral8x7B,256,glass_optical,4096,204265885790,204.266
mixtral8x7B,256,glass_atIB,400,335474928209,335.475
llamaMoE,128,fattree_512,4096,91100883633,91.101
mixtral8x7B,256,fattree,400,233433591394,233.434
mixtral8x7B,256,fc,400,195994006204,195.994
mixtral8x7B,256,glass_optical,4096,204265885790,204.266
mixtral8x7B,256,glass_atIB,400,335474928209,335.475
