experiment,workload,ep,config,intra_bw,inter_bw,lat_ns,makespan_ps,makespan_ms,rtos
knee,coding_prefill,64,glassfb,384,1600,100/300/500,46028299484,46.028,68
knee,coding_prefill,64,glassfb,384,2000,100/300/500,46028299484,46.028,68
knee,coding_prefill,64,glassfb,384,2400,100/300/500,6448818088,6.449,0
knee,coding_prefill,64,glassfb,384,2800,100/300/500,6448818088,6.449,0
knee,coding_prefill,64,glassfb,384,3200,100/300/500,6448818088,6.449,0
knee,agentic_prefill,64,glassfb,384,1600,100/300/500,44349413931,44.349,67
knee,agentic_prefill,64,glassfb,384,2000,100/300/500,44349413931,44.349,67
knee,agentic_prefill,64,glassfb,384,2400,100/300/500,11698443723,11.698,0
knee,agentic_prefill,64,glassfb,384,2800,100/300/500,11698443723,11.698,0
knee,agentic_prefill,64,glassfb,384,3200,100/300/500,11698443723,11.698,0
matched_lat,decode,16,glassfb_at500ns,384,3200,500/500/500,680037952,0.680,0
matched_lat,decode,16,dom64_at100ns,900,100,100/100/100,607248564,0.607,0
matched_lat,decode,16,glassfb_native,384,3200,100/300/500,632330312,0.632,0
matched_lat,decode,16,dom64_native,900,100,500/500/500,688998640,0.689,0
matched_lat,coding_prefill,16,glassfb_at500ns,384,3200,500/500/500,3821645612,3.822,0
matched_lat,coding_prefill,16,dom64_at100ns,900,100,100/100/100,3437314536,3.437,0
matched_lat,coding_prefill,16,glassfb_native,384,3200,100/300/500,3715734252,3.716,0
matched_lat,coding_prefill,16,dom64_native,900,100,500/500/500,3859284592,3.859,0
