system,ep,model_name,q,q_over_bdp,q_over_bdp_source,makespan_ms,rtos,drops,max_fct_ms,fct_status,quotable,source,quotable_why
glassfb,32,llamaMoE,1000,3.75,3.75,88.089,1764,,,shared_logdir,no,qfine_ep32.csv,"timeouts present: 1764, loss not measured"
glassfb,32,llamaMoE,1032,3.87,3.87,92.088,1639,,14.6336,clean,no,qfine_ep32.csv,"timeouts present: 1639, loss not measured"
glassfb,32,llamaMoE,1064,3.99,3.99,91.367,1364,,10.5971,clean,no,qfine_ep32.csv,"timeouts present: 1364, loss not measured"
glassfb,32,llamaMoE,1067,4.00,2.0,85.365,1499,,13.3118,clean,no,cliff_ep32_gt_ksweep.csv,"timeouts present: 1499, loss not measured"
glassfb,32,llamaMoE,1096,4.11,4.11,88.421,1431,,7.6519,clean,no,qfine_ep32.csv,"timeouts present: 1431, loss not measured"
glassfb,32,llamaMoE,1128,4.23,4.23,83.381,1096,,5.3778,clean,no,qfine_ep32.csv,"timeouts present: 1096, loss not measured"
glassfb,32,llamaMoE,2100,7.88,7.88,75.520,0,,,shared_logdir,yes,qplateau_ep32.csv,relay-clean and zero timeouts
glassfb,32,llamaMoE,2133,8.00,4.0,75.542,0,208,7.5426,clean,yes,cliff_ep32_gt_ksweep.csv,relay-clean and zero timeouts
glassfb,32,llamaMoE,2133,8.00,8.00,75.542,0,208,7.5426,clean,yes,qplateau_ep32.csv,relay-clean and zero timeouts
glassfb,32,llamaMoE,2166,8.12,8.12,75.522,0,,,shared_logdir,yes,qplateau_ep32.csv,relay-clean and zero timeouts
glassfb,32,llamaMoE,4267,16.00,8.0,75.540,0,,4.9890,clean,yes,cliff_ep32_gt_ksweep.csv,relay-clean and zero timeouts
glassfb,64,qwenMoE,533,2.00,2.00,54.182,128415,,8.2083,clean,no,cliff_ep64_gt.csv,"timeouts present: 128415, loss not measured"
glassfb,64,qwenMoE,1064,3.99,3.99,52.004,102601,,,shared_logdir,no,cliff_ep64_gt.csv,"timeouts present: 102601, loss not measured"
glassfb,64,qwenMoE,2133,8.00,8.00,60.998,64804,,14.9117,clean,no,cliff_ep64_gt.csv,"timeouts present: 64804, loss not measured"
glassfb,64,qwenMoE,4267,16.00,16.0,59.485,13812,,,shared_logdir,no,cliff_ep64_gt_ext.csv,"timeouts present: 13812, loss not measured"
glassfb,64,qwenMoE,8533,32.00,32.0,39.410,564,,,shared_logdir,no,cliff_ep64_gt_ext.csv,"timeouts present: 564, loss not measured"
glassfb,64,qwenMoE,17067,64.00,64.0,39.395,0,,,shared_logdir,yes,cliff_ep64_gt_ext.csv,relay-clean and zero timeouts
hgx8,32,llamaMoE,270,4.05,4.05,164.522,105,,,shared_logdir,no,island_vanishing_timeout.csv,"timeouts present: 105, loss not measured"
hgx8,32,llamaMoE,540,8.10,8.10,164.522,105,,,shared_logdir,no,island_vanishing_timeout.csv,"timeouts present: 105, loss not measured"
hgx8,32,llamaMoE,1080,16.20,16.20,164.522,105,,,shared_logdir,no,island_vanishing_timeout.csv,"timeouts present: 105, loss not measured"
hgx8,32,llamaMoE,2160,32.40,32.40,164.522,105,,,shared_logdir,no,island_vanishing_timeout.csv,"timeouts present: 105, loss not measured"
