variant,msg_bytes,k,q,q_over_bdp,switches,link_gbps,T_us,egress_GBps,efficiency,rtos,drops,makespan_ms,wall_s,link_rate_fixed,binary_sha,quotable,quotable_why,quoted_by,note
s1,8192,2,600,2.00,1,450,47.558,1.21,0.0027,0,0,0.047558,0,yes,1b1cc47,yes,first timeout-free rung,build_calib,synthetic 8-GPU a2a; M per ordered pair; combine omitted; 450 GB/s per GPU per dir in both variants
s1,8192,4,1200,4.00,1,450,47.558,1.21,0.0027,0,0,0.047558,0,yes,1b1cc47,no,not the first timeout-free rung,build_calib,synthetic 8-GPU a2a; M per ordered pair; combine omitted; 450 GB/s per GPU per dir in both variants
s1,8192,8,2400,8.00,1,450,47.558,1.21,0.0027,0,0,0.047558,0,yes,1b1cc47,no,not the first timeout-free rung,build_calib,synthetic 8-GPU a2a; M per ordered pair; combine omitted; 450 GB/s per GPU per dir in both variants
s1,8192,16,4800,16.00,1,450,47.558,1.21,0.0027,0,0,0.047558,0,yes,1b1cc47,no,not the first timeout-free rung,build_calib,synthetic 8-GPU a2a; M per ordered pair; combine omitted; 450 GB/s per GPU per dir in both variants
s1,8192,32,9600,32.00,1,450,47.558,1.21,0.0027,0,0,0.047558,0,yes,1b1cc47,no,not the first timeout-free rung,build_calib,synthetic 8-GPU a2a; M per ordered pair; combine omitted; 450 GB/s per GPU per dir in both variants
s1,8192,64,19200,64.00,1,450,47.558,1.21,0.0027,0,0,0.047558,0,yes,1b1cc47,no,not the first timeout-free rung,build_calib,synthetic 8-GPU a2a; M per ordered pair; combine omitted; 450 GB/s per GPU per dir in both variants
s1,32768,2,600,2.00,1,450,47.596,4.82,0.0107,0,0,0.047596,0,yes,1b1cc47,yes,first timeout-free rung,build_calib,synthetic 8-GPU a2a; M per ordered pair; combine omitted; 450 GB/s per GPU per dir in both variants
s1,32768,4,1200,4.00,1,450,47.596,4.82,0.0107,0,0,0.047596,0,yes,1b1cc47,no,not the first timeout-free rung,build_calib,synthetic 8-GPU a2a; M per ordered pair; combine omitted; 450 GB/s per GPU per dir in both variants
s1,32768,8,2400,8.00,1,450,47.596,4.82,0.0107,0,0,0.047596,0,yes,1b1cc47,no,not the first timeout-free rung,build_calib,synthetic 8-GPU a2a; M per ordered pair; combine omitted; 450 GB/s per GPU per dir in both variants
s1,32768,16,4800,16.00,1,450,47.596,4.82,0.0107,0,0,0.047596,0,yes,1b1cc47,no,not the first timeout-free rung,build_calib,synthetic 8-GPU a2a; M per ordered pair; combine omitted; 450 GB/s per GPU per dir in both variants
s1,32768,32,9600,32.00,1,450,47.596,4.82,0.0107,0,0,0.047596,0,yes,1b1cc47,no,not the first timeout-free rung,build_calib,synthetic 8-GPU a2a; M per ordered pair; combine omitted; 450 GB/s per GPU per dir in both variants
s1,32768,64,19200,64.00,1,450,47.596,4.82,0.0107,0,0,0.047596,0,yes,1b1cc47,no,not the first timeout-free rung,build_calib,synthetic 8-GPU a2a; M per ordered pair; combine omitted; 450 GB/s per GPU per dir in both variants
s1,131072,2,600,2.00,1,450,1003.870,0.91,0.0020,8,352,1.003870,0,yes,1b1cc47,no,not the first timeout-free rung,build_calib,synthetic 8-GPU a2a; M per ordered pair; combine omitted; 450 GB/s per GPU per dir in both variants
s1,131072,4,1200,4.00,1,450,47.748,19.22,0.0427,0,0,0.047748,0,yes,1b1cc47,yes,first timeout-free rung,build_calib,synthetic 8-GPU a2a; M per ordered pair; combine omitted; 450 GB/s per GPU per dir in both variants
s1,131072,8,2400,8.00,1,450,47.748,19.22,0.0427,0,0,0.047748,0,yes,1b1cc47,no,not the first timeout-free rung,build_calib,synthetic 8-GPU a2a; M per ordered pair; combine omitted; 450 GB/s per GPU per dir in both variants
s1,131072,16,4800,16.00,1,450,47.748,19.22,0.0427,0,0,0.047748,0,yes,1b1cc47,no,not the first timeout-free rung,build_calib,synthetic 8-GPU a2a; M per ordered pair; combine omitted; 450 GB/s per GPU per dir in both variants
s1,131072,32,9600,32.00,1,450,47.748,19.22,0.0427,0,0,0.047748,0,yes,1b1cc47,no,not the first timeout-free rung,build_calib,synthetic 8-GPU a2a; M per ordered pair; combine omitted; 450 GB/s per GPU per dir in both variants
s1,131072,64,19200,64.00,1,450,47.748,19.22,0.0427,0,0,0.047748,0,yes,1b1cc47,no,not the first timeout-free rung,build_calib,synthetic 8-GPU a2a; M per ordered pair; combine omitted; 450 GB/s per GPU per dir in both variants
s1,524288,2,600,2.00,1,450,1011.020,3.63,0.0081,8,801,1.011020,0,yes,1b1cc47,no,not the first timeout-free rung,build_calib,synthetic 8-GPU a2a; M per ordered pair; combine omitted; 450 GB/s per GPU per dir in both variants
s1,524288,4,1200,4.00,1,450,48.359,75.89,0.1686,0,0,0.048359,0,yes,1b1cc47,yes,first timeout-free rung,build_calib,synthetic 8-GPU a2a; M per ordered pair; combine omitted; 450 GB/s per GPU per dir in both variants
s1,524288,8,2400,8.00,1,450,48.359,75.89,0.1686,0,0,0.048359,0,yes,1b1cc47,no,not the first timeout-free rung,build_calib,synthetic 8-GPU a2a; M per ordered pair; combine omitted; 450 GB/s per GPU per dir in both variants
s1,524288,16,4800,16.00,1,450,48.359,75.89,0.1686,0,0,0.048359,0,yes,1b1cc47,no,not the first timeout-free rung,build_calib,synthetic 8-GPU a2a; M per ordered pair; combine omitted; 450 GB/s per GPU per dir in both variants
s1,524288,32,9600,32.00,1,450,48.359,75.89,0.1686,0,0,0.048359,0,yes,1b1cc47,no,not the first timeout-free rung,build_calib,synthetic 8-GPU a2a; M per ordered pair; combine omitted; 450 GB/s per GPU per dir in both variants
s1,524288,64,19200,64.00,1,450,48.359,75.89,0.1686,0,0,0.048359,0,yes,1b1cc47,no,not the first timeout-free rung,build_calib,synthetic 8-GPU a2a; M per ordered pair; combine omitted; 450 GB/s per GPU per dir in both variants
s1,2097152,2,600,2.00,1,450,1035.603,14.18,0.0315,8,801,1.035603,0,yes,1b1cc47,no,not the first timeout-free rung,build_calib,synthetic 8-GPU a2a; M per ordered pair; combine omitted; 450 GB/s per GPU per dir in both variants
s1,2097152,4,1200,4.00,1,450,50.800,288.98,0.6422,0,0,0.050800,0,yes,1b1cc47,yes,first timeout-free rung,build_calib,synthetic 8-GPU a2a; M per ordered pair; combine omitted; 450 GB/s per GPU per dir in both variants
s1,2097152,8,2400,8.00,1,450,50.800,288.98,0.6422,0,0,0.050800,0,yes,1b1cc47,no,not the first timeout-free rung,build_calib,synthetic 8-GPU a2a; M per ordered pair; combine omitted; 450 GB/s per GPU per dir in both variants
s1,2097152,16,4800,16.00,1,450,50.800,288.98,0.6422,0,0,0.050800,0,yes,1b1cc47,no,not the first timeout-free rung,build_calib,synthetic 8-GPU a2a; M per ordered pair; combine omitted; 450 GB/s per GPU per dir in both variants
s1,2097152,32,9600,32.00,1,450,50.800,288.98,0.6422,0,0,0.050800,0,yes,1b1cc47,no,not the first timeout-free rung,build_calib,synthetic 8-GPU a2a; M per ordered pair; combine omitted; 450 GB/s per GPU per dir in both variants
s1,2097152,64,19200,64.00,1,450,50.800,288.98,0.6422,0,0,0.050800,0,yes,1b1cc47,no,not the first timeout-free rung,build_calib,synthetic 8-GPU a2a; M per ordered pair; combine omitted; 450 GB/s per GPU per dir in both variants
s1,8388608,2,600,2.00,1,450,1134.270,51.77,0.1150,8,801,1.134270,0,yes,1b1cc47,no,not the first timeout-free rung,build_calib,synthetic 8-GPU a2a; M per ordered pair; combine omitted; 450 GB/s per GPU per dir in both variants
s1,8388608,4,1200,4.00,1,450,135.313,433.96,0.9644,0,0,0.135313,0,yes,1b1cc47,yes,first timeout-free rung,build_calib,synthetic 8-GPU a2a; M per ordered pair; combine omitted; 450 GB/s per GPU per dir in both variants
s1,8388608,8,2400,8.00,1,450,133.411,440.15,0.9781,0,0,0.133411,0,yes,1b1cc47,no,not the first timeout-free rung,build_calib,synthetic 8-GPU a2a; M per ordered pair; combine omitted; 450 GB/s per GPU per dir in both variants
s1,8388608,16,4800,16.00,1,450,133.411,440.15,0.9781,0,0,0.133411,0,yes,1b1cc47,no,not the first timeout-free rung,build_calib,synthetic 8-GPU a2a; M per ordered pair; combine omitted; 450 GB/s per GPU per dir in both variants
s1,8388608,32,9600,32.00,1,450,133.411,440.15,0.9781,0,0,0.133411,0,yes,1b1cc47,no,not the first timeout-free rung,build_calib,synthetic 8-GPU a2a; M per ordered pair; combine omitted; 450 GB/s per GPU per dir in both variants
s1,8388608,64,19200,64.00,1,450,133.411,440.15,0.9781,0,0,0.133411,0,yes,1b1cc47,no,not the first timeout-free rung,build_calib,synthetic 8-GPU a2a; M per ordered pair; combine omitted; 450 GB/s per GPU per dir in both variants
s1,33554432,2,600,2.00,1,450,1529.333,153.58,0.3413,8,801,1.529333,1,yes,1b1cc47,no,not the first timeout-free rung,build_calib,synthetic 8-GPU a2a; M per ordered pair; combine omitted; 450 GB/s per GPU per dir in both variants
s1,33554432,4,1200,4.00,1,450,525.416,447.04,0.9934,0,0,0.525416,1,yes,1b1cc47,yes,first timeout-free rung,build_calib,synthetic 8-GPU a2a; M per ordered pair; combine omitted; 450 GB/s per GPU per dir in both variants
s1,33554432,8,2400,8.00,1,450,524.866,447.51,0.9945,0,0,0.524866,1,yes,1b1cc47,no,not the first timeout-free rung,build_calib,synthetic 8-GPU a2a; M per ordered pair; combine omitted; 450 GB/s per GPU per dir in both variants
s1,33554432,16,4800,16.00,1,450,524.866,447.51,0.9945,0,0,0.524866,1,yes,1b1cc47,no,not the first timeout-free rung,build_calib,synthetic 8-GPU a2a; M per ordered pair; combine omitted; 450 GB/s per GPU per dir in both variants
s1,33554432,32,9600,32.00,1,450,524.866,447.51,0.9945,0,0,0.524866,1,yes,1b1cc47,no,not the first timeout-free rung,build_calib,synthetic 8-GPU a2a; M per ordered pair; combine omitted; 450 GB/s per GPU per dir in both variants
s1,33554432,64,19200,64.00,1,450,524.866,447.51,0.9945,0,0,0.524866,1,yes,1b1cc47,no,not the first timeout-free rung,build_calib,synthetic 8-GPU a2a; M per ordered pair; combine omitted; 450 GB/s per GPU per dir in both variants
s1,67108864,2,600,2.00,1,450,2051.989,228.93,0.5087,8,801,2.051989,2,yes,1b1cc47,no,not the first timeout-free rung,build_calib,synthetic 8-GPU a2a; M per ordered pair; combine omitted; 450 GB/s per GPU per dir in both variants
s1,67108864,4,1200,4.00,1,450,1046.907,448.71,0.9971,0,0,1.046907,2,yes,1b1cc47,yes,first timeout-free rung,build_calib,synthetic 8-GPU a2a; M per ordered pair; combine omitted; 450 GB/s per GPU per dir in both variants
s1,67108864,8,2400,8.00,1,450,1046.815,448.75,0.9972,0,0,1.046815,2,yes,1b1cc47,no,not the first timeout-free rung,build_calib,synthetic 8-GPU a2a; M per ordered pair; combine omitted; 450 GB/s per GPU per dir in both variants
s1,67108864,16,4800,16.00,1,450,1046.815,448.75,0.9972,0,0,1.046815,2,yes,1b1cc47,no,not the first timeout-free rung,build_calib,synthetic 8-GPU a2a; M per ordered pair; combine omitted; 450 GB/s per GPU per dir in both variants
s1,67108864,32,9600,32.00,1,450,1046.815,448.75,0.9972,0,0,1.046815,2,yes,1b1cc47,no,not the first timeout-free rung,build_calib,synthetic 8-GPU a2a; M per ordered pair; combine omitted; 450 GB/s per GPU per dir in both variants
s1,67108864,64,19200,64.00,1,450,1046.815,448.75,0.9972,0,0,1.046815,2,yes,1b1cc47,no,not the first timeout-free rung,build_calib,synthetic 8-GPU a2a; M per ordered pair; combine omitted; 450 GB/s per GPU per dir in both variants
s18,8192,2,34,2.04,18,25,47.751,1.20,0.0027,0,0,0.047751,0,yes,1b1cc47,yes,first timeout-free rung,build_calib,synthetic 8-GPU a2a; M per ordered pair; combine omitted; 450 GB/s per GPU per dir in both variants
s18,8192,4,68,4.08,18,25,47.751,1.20,0.0027,0,0,0.047751,0,yes,1b1cc47,no,not the first timeout-free rung,build_calib,synthetic 8-GPU a2a; M per ordered pair; combine omitted; 450 GB/s per GPU per dir in both variants
s18,8192,8,136,8.16,18,25,47.751,1.20,0.0027,0,0,0.047751,0,yes,1b1cc47,no,not the first timeout-free rung,build_calib,synthetic 8-GPU a2a; M per ordered pair; combine omitted; 450 GB/s per GPU per dir in both variants
s18,8192,16,272,16.32,18,25,47.751,1.20,0.0027,0,0,0.047751,0,yes,1b1cc47,no,not the first timeout-free rung,build_calib,synthetic 8-GPU a2a; M per ordered pair; combine omitted; 450 GB/s per GPU per dir in both variants
s18,8192,32,544,32.64,18,25,47.751,1.20,0.0027,0,0,0.047751,0,yes,1b1cc47,no,not the first timeout-free rung,build_calib,synthetic 8-GPU a2a; M per ordered pair; combine omitted; 450 GB/s per GPU per dir in both variants
s18,8192,64,1088,65.28,18,25,47.751,1.20,0.0027,0,0,0.047751,0,yes,1b1cc47,no,not the first timeout-free rung,build_calib,synthetic 8-GPU a2a; M per ordered pair; combine omitted; 450 GB/s per GPU per dir in both variants
s18,32768,2,34,2.04,18,25,1003.204,0.23,0.0005,7,84,1.003204,0,yes,1b1cc47,no,not the first timeout-free rung,build_calib,synthetic 8-GPU a2a; M per ordered pair; combine omitted; 450 GB/s per GPU per dir in both variants
s18,32768,4,68,4.08,18,25,47.789,4.80,0.0107,0,0,0.047789,0,yes,1b1cc47,yes,first timeout-free rung,build_calib,synthetic 8-GPU a2a; M per ordered pair; combine omitted; 450 GB/s per GPU per dir in both variants
s18,32768,8,136,8.16,18,25,47.789,4.80,0.0107,0,0,0.047789,0,yes,1b1cc47,no,not the first timeout-free rung,build_calib,synthetic 8-GPU a2a; M per ordered pair; combine omitted; 450 GB/s per GPU per dir in both variants
s18,32768,16,272,16.32,18,25,47.789,4.80,0.0107,0,0,0.047789,0,yes,1b1cc47,no,not the first timeout-free rung,build_calib,synthetic 8-GPU a2a; M per ordered pair; combine omitted; 450 GB/s per GPU per dir in both variants
s18,32768,32,544,32.64,18,25,47.789,4.80,0.0107,0,0,0.047789,0,yes,1b1cc47,no,not the first timeout-free rung,build_calib,synthetic 8-GPU a2a; M per ordered pair; combine omitted; 450 GB/s per GPU per dir in both variants
s18,32768,64,1088,65.28,18,25,47.789,4.80,0.0107,0,0,0.047789,0,yes,1b1cc47,no,not the first timeout-free rung,build_calib,synthetic 8-GPU a2a; M per ordered pair; combine omitted; 450 GB/s per GPU per dir in both variants
s18,131072,2,34,2.04,18,25,1010.716,0.91,0.0020,56,3494,1.010716,0,yes,1b1cc47,no,not the first timeout-free rung,build_calib,synthetic 8-GPU a2a; M per ordered pair; combine omitted; 450 GB/s per GPU per dir in both variants
