paper_ref,family,system,variant,walk,model_name,topk,ep,mb,nodes,q,q_over_bdp,rto_min_us,mtu,makespan_ms,rtos,quotable,quotable_why,fct_logdir,source,note,link_rate_fixed,quoted_by
cliff,,nvl64_pkt_s1,,s1_16,llamaMoE,,16,,128,19200,32.00,,,89.411,0,no,not the first qualifying rung of this walk,,cliff_postfix.csv,post-fix rung; one job per rung,yes,collector
cliff,,nvl64_pkt_s1,,s1_16,llamaMoE,,16,,128,4800,8.00,,,89.411,0,no,not the first qualifying rung of this walk,,cliff_postfix.csv,post-fix rung; one job per rung,yes,collector
cliff,,nvl64_pkt_s1,,s1_16,llamaMoE,,16,,128,9600,16.00,,,89.411,0,no,not the first qualifying rung of this walk,,cliff_postfix.csv,post-fix rung; one job per rung,yes,collector
cliff,,nvl64_pkt_s1,,s1_16,llamaMoE,,16,,128,2400,4.00,,,89.430,0,yes,first zero-timeout rung (post-fix binary),,cliff_postfix.csv,post-fix rung; one job per rung,yes,collector
cliff,,nvl64_pkt_s1,,s1_16,llamaMoE,,16,,128,600,1.00,,,148.020,9488,no,not the first qualifying rung of this walk,,cliff_postfix.csv,post-fix rung; one job per rung,yes,collector
cliff,,nvl64_pkt_s1,,s1_16,llamaMoE,,16,,128,1200,2.00,,,190.241,3239,no,not the first qualifying rung of this walk,,cliff_postfix.csv,post-fix rung; one job per rung,yes,collector
cliff,,nvl64_pkt_s1,,s1m4,llamaMoE,,16,4,128,19200,32.00,,,86.413,0,no,not the first qualifying rung of this walk,,cliff_postfix.csv,post-fix rung; one job per rung,yes,collector
cliff,,nvl64_pkt_s1,,s1m4,llamaMoE,,16,4,128,4800,8.00,,,86.413,0,no,not the first qualifying rung of this walk,,cliff_postfix.csv,post-fix rung; one job per rung,yes,collector
cliff,,nvl64_pkt_s1,,s1m4,llamaMoE,,16,4,128,9600,16.00,,,86.413,0,no,not the first qualifying rung of this walk,,cliff_postfix.csv,post-fix rung; one job per rung,yes,collector
cliff,,nvl64_pkt_s1,,s1m4,llamaMoE,,16,4,128,2400,4.00,,,86.435,0,yes,first zero-timeout rung (post-fix binary),,cliff_postfix.csv,post-fix rung; one job per rung,yes,collector
cliff,,nvl64_pkt_s1,,s1m4,llamaMoE,,16,4,128,600,1.00,,,148.007,9489,no,not the first qualifying rung of this walk,,cliff_postfix.csv,post-fix rung; one job per rung,yes,collector
cliff,,nvl64_pkt_s1,,s1m4,llamaMoE,,16,4,128,1200,2.00,,,211.051,3264,no,not the first qualifying rung of this walk,,cliff_postfix.csv,post-fix rung; one job per rung,yes,collector
cliff,,nvl64_pkt_s1,,s1m16,llamaMoE,,16,16,128,19200,32.00,,,95.062,0,no,not the first qualifying rung of this walk,,cliff_postfix.csv,post-fix rung; one job per rung,yes,collector
cliff,,nvl64_pkt_s1,,s1m16,llamaMoE,,16,16,128,4800,8.00,,,95.062,0,no,not the first qualifying rung of this walk,,cliff_postfix.csv,post-fix rung; one job per rung,yes,collector
cliff,,nvl64_pkt_s1,,s1m16,llamaMoE,,16,16,128,9600,16.00,,,95.062,0,no,not the first qualifying rung of this walk,,cliff_postfix.csv,post-fix rung; one job per rung,yes,collector
cliff,,nvl64_pkt_s1,,s1m16,llamaMoE,,16,16,128,2400,4.00,,,95.115,0,yes,first zero-timeout rung (post-fix binary),,cliff_postfix.csv,post-fix rung; one job per rung,yes,collector
cliff,,nvl64_pkt_s1,,s1m16,llamaMoE,,16,16,128,600,1.00,,,123.083,9502,no,not the first qualifying rung of this walk,,cliff_postfix.csv,post-fix rung; one job per rung,yes,collector
cliff,,nvl64_pkt_s1,,s1m16,llamaMoE,,16,16,128,1200,2.00,,,166.169,3331,no,not the first qualifying rung of this walk,,cliff_postfix.csv,post-fix rung; one job per rung,yes,collector
cliff,,nvl64_pkt_s1,,s1m32,llamaMoE,,16,32,128,19200,32.00,,,109.443,0,no,not the first qualifying rung of this walk,,cliff_postfix.csv,post-fix rung; one job per rung,yes,collector
cliff,,nvl64_pkt_s1,,s1m32,llamaMoE,,16,32,128,9600,16.00,,,109.443,0,no,not the first qualifying rung of this walk,,cliff_postfix.csv,post-fix rung; one job per rung,yes,collector
cliff,,nvl64_pkt_s1,,s1m32,llamaMoE,,16,32,128,4800,8.00,,,110.190,0,no,not the first qualifying rung of this walk,,cliff_postfix.csv,post-fix rung; one job per rung,yes,collector
cliff,,nvl64_pkt_s1,,s1m32,llamaMoE,,16,32,128,2400,4.00,,,111.027,0,yes,first zero-timeout rung (post-fix binary),,cliff_postfix.csv,post-fix rung; one job per rung,yes,collector
cliff,,nvl64_pkt_s1,,s1m32,llamaMoE,,16,32,128,600,1.00,,,138.170,9392,no,not the first qualifying rung of this walk,,cliff_postfix.csv,post-fix rung; one job per rung,yes,collector
cliff,,nvl64_pkt_s1,,s1m32,llamaMoE,,16,32,128,1200,2.00,,,176.064,3240,no,not the first qualifying rung of this walk,,cliff_postfix.csv,post-fix rung; one job per rung,yes,collector
cliff,,nvl64_pkt_s1,,s1_32,llamaMoE,,32,,256,19200,32.00,,,69.989,0,no,not the first qualifying rung of this walk,,cliff_postfix.csv,post-fix rung; one job per rung,yes,collector
cliff,,nvl64_pkt_s1,,s1_32,llamaMoE,,32,,256,4800,8.00,,,69.989,0,yes,first zero-timeout rung (post-fix binary),,cliff_postfix.csv,post-fix rung; one job per rung,yes,collector
cliff,,nvl64_pkt_s1,,s1_32,llamaMoE,,32,,256,9600,16.00,,,69.989,0,no,not the first qualifying rung of this walk,,cliff_postfix.csv,post-fix rung; one job per rung,yes,collector
cliff,,nvl64_pkt_s1,,s1_32,llamaMoE,,32,,256,1200,2.00,,,96.348,40884,no,not the first qualifying rung of this walk,,cliff_postfix.csv,post-fix rung; one job per rung,yes,collector
