paper_ref,system,cabling,ep,nodes,mb,q,relayed_pairs,completed,makespan_ms,rtos,flows_total,flows_payload,mean_fct_ms,p50_fct_ms,p99_fct_ms,max_fct_ms,wall_s,status,note,link_rate_fixed,binary_sha,model_name,family,q_over_bdp,drops,quotable,quotable_why,walk,quoted_by,fct_logdir,fct_status,,domain,switches,link_gbps,nic_bw,q_nvs,q_nic,source
cliff,glassfb,ep128_gt.txt,128,1024,8,1066,0,COMPLETE,273.493,394052,4757504,3671040,0.2831,0.0008,6.6976,47.1933,13179,sweep,post-fix rung; one job per rung | drops measured on the counter build at the same makespan,yes,9ac4f76,arctic,glass,4.00,66245923,no,not the first qualifying rung of this walk,g128,collector,,,,,,,,,,g128_q1066.csv
cliff,glassfb,ep128_gt.txt,128,1024,8,17067,0,COMPLETE,1175.319,6883,4757504,3671040,0.1018,0.0008,1.1961,627.3230,11602,sweep,post-fix rung; one job per rung,yes,9ac4f76,arctic,glass,64.00,,no,not the first qualifying rung of this walk,g128,collector,,,,,,,,,,g128_q17067.csv
cliff,glassfb,ep128_gt.txt,128,1024,8,2133,0,COMPLETE,274.510,238854,4757504,3671040,0.2748,0.0008,5.1361,44.0207,13595,sweep,post-fix rung; one job per rung | drops measured on the counter build at the same makespan,yes,9ac4f76,arctic,glass,8.00,56969388,no,not the first qualifying rung of this walk,g128,collector,,,,,,,,,,g128_q2133.csv
cliff,glassfb,ep128_gt.txt,128,1024,8,4267,0,COMPLETE,266.337,107670,4757504,3671040,0.1810,0.0008,3.9798,63.7266,16513,sweep,post-fix rung; one job per rung,yes,9ac4f76,arctic,glass,16.00,,no,not the first qualifying rung of this walk,g128,collector,,,,,,,,,,g128_q4267.csv
cliff,glassfb,ep128_gt.txt,128,1024,8,533,0,COMPLETE,293.493,601806,4757504,3671040,0.3792,0.0008,8.5641,44.1531,13052,sweep,post-fix rung; one job per rung,yes,9ac4f76,arctic,glass,2.00,,no,not the first qualifying rung of this walk,g128,collector,,,,,,,,,,g128_q533.csv
cliff,glassfb,ep128_gt.txt,128,1024,8,8533,0,COMPLETE,754.319,42830,4757504,3671040,0.1939,0.0008,2.8725,338.6120,14988,sweep,post-fix rung; one job per rung,yes,9ac4f76,arctic,glass,32.00,,no,not the first qualifying rung of this walk,g128,collector,,,,,,,,,,g128_q8533.csv
cliff,glassfb_800,ep128_gt.txt,128,1024,8,1066,0,COMPLETE,270.345,253872,4757504,3671040,0.2167,0.0008,4.5315,40.7148,16206,sweep,"post-fix rung (glass); dim_a2a=1; portmap=ep128_gt.txt; hier=0; port_bw=800; 200G/lane: static laser+tune NOT re-budgeted, same 5.3 W/panel as 100G/lane and likely low for the higher-rate lanes; link pJ/bit unchanged (dynamic)",yes,2128410,arctic,,,54925582,no,not the first qualifying rung of this walk,g128b800,collector,./logs/rung_12922357_2399670_1788813347617881736,clean,['2128410'],,,,,,,g128b800_q1066.csv
cliff,glassfb_800,ep128_gt.txt,128,1024,8,17067,0,COMPLETE,824.013,828,4757504,3671040,0.0441,0.0008,0.6424,315.3280,13218,sweep,"post-fix rung (glass); dim_a2a=1; portmap=ep128_gt.txt; hier=0; port_bw=800; 200G/lane: static laser+tune NOT re-budgeted, same 5.3 W/panel as 100G/lane and likely low for the higher-rate lanes; link pJ/bit unchanged (dynamic)",yes,2128410,arctic,,,851789,no,not the first qualifying rung of this walk,g128b800,collector,./logs/rung_12922361_2698683_1788813347496139250,clean,['2128410'],,,,,,,g128b800_q17067.csv
cliff,glassfb_800,ep128_gt.txt,128,1024,8,2133,0,COMPLETE,272.357,103549,4757504,3671040,0.1280,0.0008,2.2337,59.8981,16961,sweep,"post-fix rung (glass); dim_a2a=1; portmap=ep128_gt.txt; hier=0; port_bw=800; 200G/lane: static laser+tune NOT re-budgeted, same 5.3 W/panel as 100G/lane and likely low for the higher-rate lanes; link pJ/bit unchanged (dynamic)",yes,2128410,arctic,,,38619657,no,not the first qualifying rung of this walk,g128b800,collector,./logs/rung_12922358_2399661_1788813347613727351,clean,['2128410'],,,,,,,g128b800_q2133.csv
cliff,glassfb_800,ep128_gt.txt,128,1024,8,34133,0,COMPLETE,194.609,0,4757504,3671040,0.0406,0.0008,0.6143,6.8237,14425,sweep,"post-fix rung (glass); dim_a2a=1; portmap=ep128_gt.txt; hier=0; port_bw=800; 200G/lane: static laser+tune NOT re-budgeted, same 5.3 W/panel as 100G/lane and likely low for the higher-rate lanes; link pJ/bit unchanged (dynamic)",yes,2128410,arctic,,,0,yes,first zero-timeout rung (post-fix binary),g128b800,collector,./logs/rung_12922362_2698680_1788813347586144647,clean,['2128410'],,,,,,,g128b800_q34133.csv
cliff,glassfb_800,ep128_gt.txt,128,1024,8,4267,0,COMPLETE,318.710,44303,4757504,3671040,0.0870,0.0008,1.4752,48.0651,14599,sweep,"post-fix rung (glass); dim_a2a=1; portmap=ep128_gt.txt; hier=0; port_bw=800; 200G/lane: static laser+tune NOT re-budgeted, same 5.3 W/panel as 100G/lane and likely low for the higher-rate lanes; link pJ/bit unchanged (dynamic)",yes,2128410,arctic,,,26085910,no,not the first qualifying rung of this walk,g128b800,collector,./logs/rung_12922359_2158528_1788813347488521913,clean,['2128410'],,,,,,,g128b800_q4267.csv
cliff,glassfb_800,ep128_gt.txt,128,1024,8,8533,0,COMPLETE,316.655,11572,4757504,3671040,0.0562,0.0008,0.8506,101.3510,14765,sweep,"post-fix rung (glass); dim_a2a=1; portmap=ep128_gt.txt; hier=0; port_bw=800; 200G/lane: static laser+tune NOT re-budgeted, same 5.3 W/panel as 100G/lane and likely low for the higher-rate lanes; link pJ/bit unchanged (dynamic)",yes,2128410,arctic,,,8987798,no,not the first qualifying rung of this walk,g128b800,collector,./logs/rung_12922360_2158523_1788813347504878774,clean,['2128410'],,,,,,,g128b800_q8533.csv
