label,op,compute_ms,share_of_compute
glassfb EP=16 q=1064,MultiHeadAttention,34.6189,0.4207
glassfb EP=16 q=1064,Dense,18.6095,0.2262
glassfb EP=16 q=1064,Softmax,11.6931,0.1421
glassfb EP=16 q=1064,LayerNorm,9.3291,0.1134
glassfb EP=16 q=1064,Aggregate cooperation,5.3551,0.0651
glassfb EP=16 q=1064,Add,2.6507,0.0322
glassfb EP=16 q=1064,Group_by,0.0213,0.0003
glassfb EP=16 q=1064,TopK,0.0036,0.0000
glassfb EP=16 q=1064,Input,0.0000,0.0000
glassfb EP=16 q=1064,Repartition,0.0000,0.0000
nvl64_pkt EP=16 q=544,MultiHeadAttention,34.6162,0.4456
nvl64_pkt EP=16 q=544,Dense,18.5013,0.2382
nvl64_pkt EP=16 q=544,Softmax,11.6160,0.1495
nvl64_pkt EP=16 q=544,Aggregate cooperation,9.3764,0.1207
nvl64_pkt EP=16 q=544,LayerNorm,2.8699,0.0369
nvl64_pkt EP=16 q=544,Add,0.6648,0.0086
nvl64_pkt EP=16 q=544,Group_by,0.0213,0.0003
nvl64_pkt EP=16 q=544,TopK,0.0107,0.0001
nvl64_pkt EP=16 q=544,Input,0.0000,0.0000
nvl64_pkt EP=16 q=544,Repartition,0.0000,0.0000
glassfb EP=32 q=2133,MultiHeadAttention,35.6346,0.5699
glassfb EP=32 q=2133,Aggregate cooperation,11.6535,0.1864
glassfb EP=32 q=2133,Dense,10.8654,0.1738
glassfb EP=32 q=2133,Softmax,3.0809,0.0493
glassfb EP=32 q=2133,LayerNorm,0.7281,0.0116
glassfb EP=32 q=2133,Add,0.5513,0.0088
glassfb EP=32 q=2133,Group_by,0.0097,0.0002
glassfb EP=32 q=2133,TopK,0.0029,0.0000
glassfb EP=32 q=2133,Input,0.0000,0.0000
glassfb EP=32 q=2133,Repartition,0.0000,0.0000
nvl64_pkt EP=32 q=1088,MultiHeadAttention,34.6162,0.6349
nvl64_pkt EP=32 q=1088,Dense,8.9437,0.1640
nvl64_pkt EP=32 q=1088,Aggregate cooperation,7.2832,0.1336
nvl64_pkt EP=32 q=1088,Softmax,3.4034,0.0624
nvl64_pkt EP=32 q=1088,Add,0.2015,0.0037
nvl64_pkt EP=32 q=1088,LayerNorm,0.0404,0.0007
nvl64_pkt EP=32 q=1088,Group_by,0.0240,0.0004
nvl64_pkt EP=32 q=1088,TopK,0.0058,0.0001
nvl64_pkt EP=32 q=1088,Input,0.0000,0.0000
nvl64_pkt EP=32 q=1088,Repartition,0.0000,0.0000
glassfb EP=64 k16,MultiHeadAttention,9.6167,0.4067
glassfb EP=64 k16,Dense,6.0640,0.2565
glassfb EP=64 k16,Softmax,3.5344,0.1495
glassfb EP=64 k16,LayerNorm,2.8606,0.1210
glassfb EP=64 k16,Add,0.7838,0.0331
glassfb EP=64 k16,Aggregate cooperation,0.7620,0.0322
glassfb EP=64 k16,Group_by,0.0130,0.0006
glassfb EP=64 k16,TopK,0.0100,0.0004
glassfb EP=64 k16,Input,0.0000,0.0000
glassfb EP=64 k16,Repartition,0.0000,0.0000
glassfb EP=64 k32,MultiHeadAttention,9.6167,0.4069
glassfb EP=64 k32,Dense,6.0915,0.2577
glassfb EP=64 k32,LayerNorm,2.6674,0.1129
glassfb EP=64 k32,Softmax,2.6073,0.1103
glassfb EP=64 k32,Aggregate cooperation,1.5128,0.0640
glassfb EP=64 k32,Add,1.1173,0.0473
glassfb EP=64 k32,Group_by,0.0130,0.0006
glassfb EP=64 k32,TopK,0.0100,0.0004
glassfb EP=64 k32,Input,0.0000,0.0000
glassfb EP=64 k32,Repartition,0.0000,0.0000
glassfb EP=64 k64,MultiHeadAttention,9.6167,0.4097
glassfb EP=64 k64,Dense,6.0915,0.2595
glassfb EP=64 k64,Softmax,2.6073,0.1111
glassfb EP=64 k64,LayerNorm,2.6004,0.1108
glassfb EP=64 k64,Aggregate cooperation,1.4136,0.0602
glassfb EP=64 k64,Add,1.1173,0.0476
glassfb EP=64 k64,Group_by,0.0130,0.0006
glassfb EP=64 k64,TopK,0.0100,0.0004
glassfb EP=64 k64,Input,0.0000,0.0000
glassfb EP=64 k64,Repartition,0.0000,0.0000
nvl64_pkt EP=64 q1088,MultiHeadAttention,9.6162,0.4801
nvl64_pkt EP=64 q1088,Dense,6.0405,0.3016
nvl64_pkt EP=64 q1088,Softmax,2.6073,0.1302
nvl64_pkt EP=64 q1088,LayerNorm,1.4633,0.0731
nvl64_pkt EP=64 q1088,Aggregate cooperation,0.1544,0.0077
nvl64_pkt EP=64 q1088,Add,0.1290,0.0064
nvl64_pkt EP=64 q1088,Group_by,0.0130,0.0007
nvl64_pkt EP=64 q1088,TopK,0.0067,0.0003
nvl64_pkt EP=64 q1088,Input,0.0000,0.0000
nvl64_pkt EP=64 q1088,Repartition,0.0000,0.0000
nvl64_pkt EP=64 q2176,MultiHeadAttention,10.6012,0.5445
nvl64_pkt EP=64 q2176,Dense,5.6043,0.2879
nvl64_pkt EP=64 q2176,Softmax,2.6075,0.1339
nvl64_pkt EP=64 q2176,Aggregate cooperation,0.4937,0.0254
nvl64_pkt EP=64 q2176,Add,0.1247,0.0064
nvl64_pkt EP=64 q2176,LayerNorm,0.0203,0.0010
nvl64_pkt EP=64 q2176,Group_by,0.0132,0.0007
nvl64_pkt EP=64 q2176,TopK,0.0033,0.0002
nvl64_pkt EP=64 q2176,Input,0.0000,0.0000
nvl64_pkt EP=64 q2176,Repartition,0.0000,0.0000
nvl64_pkt EP=64 q544,MultiHeadAttention,9.6162,0.4532
nvl64_pkt EP=64 q544,Dense,6.0405,0.2847
nvl64_pkt EP=64 q544,Softmax,2.6073,0.1229
nvl64_pkt EP=64 q544,LayerNorm,1.3178,0.0621
nvl64_pkt EP=64 q544,Aggregate cooperation,1.1588,0.0546
nvl64_pkt EP=64 q544,Add,0.4536,0.0214
nvl64_pkt EP=64 q544,Group_by,0.0130,0.0006
nvl64_pkt EP=64 q544,TopK,0.0100,0.0005
nvl64_pkt EP=64 q544,Input,0.0000,0.0000
nvl64_pkt EP=64 q544,Repartition,0.0000,0.0000
nvl64_pkt_s1 EP=16 q=2400,MultiHeadAttention,34.6176,0.4239
nvl64_pkt_s1 EP=16 q=2400,Dense,18.6019,0.2278
nvl64_pkt_s1 EP=16 q=2400,Softmax,11.6160,0.1422
nvl64_pkt_s1 EP=16 q=2400,LayerNorm,9.4940,0.1163
nvl64_pkt_s1 EP=16 q=2400,Aggregate cooperation,4.6943,0.0575
nvl64_pkt_s1 EP=16 q=2400,Add,2.6111,0.0320
nvl64_pkt_s1 EP=16 q=2400,Group_by,0.0213,0.0003
nvl64_pkt_s1 EP=16 q=2400,TopK,0.0072,0.0001
nvl64_pkt_s1 EP=16 q=2400,Input,0.0000,0.0000
nvl64_pkt_s1 EP=16 q=2400,Repartition,0.0000,0.0000
nvl64_pkt_s1 EP=32 q=4800,MultiHeadAttention,34.6189,0.5572
nvl64_pkt_s1 EP=32 q=4800,Dense,10.2519,0.1650
nvl64_pkt_s1 EP=32 q=4800,LayerNorm,9.2594,0.1490
nvl64_pkt_s1 EP=32 q=4800,Aggregate cooperation,4.6579,0.0750
nvl64_pkt_s1 EP=32 q=4800,Softmax,3.0534,0.0491
nvl64_pkt_s1 EP=32 q=4800,Add,0.2830,0.0046
nvl64_pkt_s1 EP=32 q=4800,Group_by,0.0097,0.0002
nvl64_pkt_s1 EP=32 q=4800,Input,0.0000,0.0000
nvl64_pkt_s1 EP=32 q=4800,Repartition,0.0000,0.0000
nvl64_pkt_s1 EP=32 q=4800,TopK,0.0000,0.0000
nvl64_pkt_s1 EP=64 q=9600,MultiHeadAttention,9.6167,0.4278
nvl64_pkt_s1 EP=64 q=9600,Dense,6.0961,0.2712
nvl64_pkt_s1 EP=64 q=9600,Softmax,2.6073,0.1160
nvl64_pkt_s1 EP=64 q=9600,LayerNorm,2.6016,0.1157
nvl64_pkt_s1 EP=64 q=9600,Aggregate cooperation,1.3873,0.0617
nvl64_pkt_s1 EP=64 q=9600,Add,0.1451,0.0065
nvl64_pkt_s1 EP=64 q=9600,Group_by,0.0130,0.0006
nvl64_pkt_s1 EP=64 q=9600,TopK,0.0100,0.0004
nvl64_pkt_s1 EP=64 q=9600,Input,0.0000,0.0000
