paper_ref,model,system,model_name,topk,ep,mb,nodes,island_gpus,island_bw,nic_bw,rtt_ns,q,q_over_bdp,feeder_pkts,rto_min_us,mtu,makespan_ms,rtos,wall_s,quoted,status,note,quotable,quotable_why,fct_logdir
cliff,island,hgx8,llamaMoE,2,32,8,256,8,450,50,2000,270,4.05,135,100,1500,164.522,105,326,no,sweep,island vanishing-timeout walk on the NIC tier; the scale-up half is analytic and has no queue,no,"timeouts present: 105, loss not measured",shared_logdir
cliff,island,hgx8,llamaMoE,2,32,8,256,8,450,50,2000,540,8.10,270,100,1500,164.522,105,327,no,sweep,island vanishing-timeout walk on the NIC tier; the scale-up half is analytic and has no queue,no,"timeouts present: 105, loss not measured",shared_logdir
cliff,island,hgx8,llamaMoE,2,32,8,256,8,450,50,2000,1080,16.20,540,100,1500,164.522,105,327,no,sweep,island vanishing-timeout walk on the NIC tier; the scale-up half is analytic and has no queue,no,"timeouts present: 105, loss not measured",shared_logdir
cliff,island,hgx8,llamaMoE,2,32,8,256,8,450,50,2000,2160,32.40,1080,100,1500,164.522,105,357,no,sweep,island vanishing-timeout walk on the NIC tier; the scale-up half is analytic and has no queue,no,"timeouts present: 105, loss not measured",shared_logdir
cliff,island,hgx8,qwenMoE,4,64,8,512,8,450,50,2000,270,4.05,135,100,1500,144.519,2192,1006,no,sweep,island vanishing-timeout walk on the NIC tier; the scale-up half is analytic and has no queue,no,"timeouts present: 2192, loss not measured",shared_logdir
cliff,island,hgx8,qwenMoE,4,64,8,512,8,450,50,2000,540,8.10,270,100,1500,144.519,2192,911,no,sweep,island vanishing-timeout walk on the NIC tier; the scale-up half is analytic and has no queue,no,"timeouts present: 2192, loss not measured",shared_logdir
cliff,island,hgx8,qwenMoE,4,64,8,512,8,450,50,2000,1080,16.20,540,100,1500,144.519,2192,867,no,sweep,island vanishing-timeout walk on the NIC tier; the scale-up half is analytic and has no queue,no,"timeouts present: 2192, loss not measured",shared_logdir
cliff,island,hgx8,qwenMoE,4,64,8,512,8,450,50,2000,2160,32.40,1080,100,1500,144.519,2192,1040,no,sweep,island vanishing-timeout walk on the NIC tier; the scale-up half is analytic and has no queue,no,"timeouts present: 2192, loss not measured",shared_logdir
cliff,island,nvl64,llamaMoE,2,32,8,256,64,900,100,2000,540,4.05,270,100,1500,64.139,0,57,yes,sweep,island vanishing-timeout walk on the NIC tier; the scale-up half is analytic and has no queue,yes,relay-clean and zero timeouts,clean
cliff,island,nvl64,qwenMoE,4,64,8,512,64,900,100,2000,540,4.05,270,100,1500,24.365,0,134,yes,sweep,island vanishing-timeout walk on the NIC tier; the scale-up half is analytic and has no queue,yes,relay-clean and zero timeouts,clean
