paper_ref,model,model_name,workload_type,system,ep,mb,nodes,q,q_over_bdp,rto_min_us,mtu,relayed_pairs,completed,makespan_ms,rtos,wall_s,quoted,status,note,quotable,quotable_why
,,,,,,,,,,,,,,,,,,submitted,job=12896676 host=atl1-1-03-003-29-1 start=2026-09-06T22:53:13,no,no completed iteration
mb,pkt,llamaMoE,training,glassfb,16,4,128,1064,4.0,100,1500,0,COMPLETE,85.271,0,114,yes,sweep,vanishing-timeout rule; quoted=yes is the shallowest zero-RTO buffer,yes,relay-clean and zero timeouts
mb,pkt,llamaMoE,training,nvl64_pkt,16,4,128,136,4.1,100,1500,0,COMPLETE,127.358,1174,115,no,sweep,vanishing-timeout rule; quoted=yes is the shallowest zero-RTO buffer,no,timeouts present: 1174 (vanishing-timeout rule)
mb,pkt,llamaMoE,training,nvl64_pkt,16,4,128,272,8.2,100,1500,0,COMPLETE,128.077,214,119,no,sweep,vanishing-timeout rule; quoted=yes is the shallowest zero-RTO buffer,no,timeouts present: 214 (vanishing-timeout rule)
mb,pkt,llamaMoE,training,nvl64_pkt,16,4,128,544,16.5,100,1500,0,COMPLETE,102.907,2,122,no,sweep,vanishing-timeout rule; quoted=yes is the shallowest zero-RTO buffer,no,timeouts present: 2 (vanishing-timeout rule)
mb,pkt,llamaMoE,training,nvl64_pkt,16,4,128,1088,33.0,100,1500,0,COMPLETE,103.935,0,126,yes,sweep,vanishing-timeout rule; quoted=yes is the shallowest zero-RTO buffer,yes,relay-clean and zero timeouts
mb,pkt,llamaMoE,training,glassfb,16,8,128,1064,4.0,100,1500,0,COMPLETE,86.750,0,205,yes,sweep,vanishing-timeout rule; quoted=yes is the shallowest zero-RTO buffer,yes,relay-clean and zero timeouts
mb,pkt,llamaMoE,training,nvl64_pkt,16,8,128,136,4.1,100,1500,0,COMPLETE,147.051,1227,216,no,sweep,vanishing-timeout rule; quoted=yes is the shallowest zero-RTO buffer,no,timeouts present: 1227 (vanishing-timeout rule)
mb,pkt,llamaMoE,training,nvl64_pkt,16,8,128,272,8.2,100,1500,0,COMPLETE,281.100,166,208,no,sweep,vanishing-timeout rule; quoted=yes is the shallowest zero-RTO buffer,no,timeouts present: 166 (vanishing-timeout rule)
mb,pkt,llamaMoE,training,nvl64_pkt,16,8,128,544,16.5,100,1500,0,COMPLETE,130.797,0,243,yes,sweep,vanishing-timeout rule; quoted=yes is the shallowest zero-RTO buffer,yes,relay-clean and zero timeouts
mb,pkt,llamaMoE,training,glassfb,16,16,128,1064,4.0,100,1500,0,COMPLETE,89.759,0,413,yes,sweep,vanishing-timeout rule; quoted=yes is the shallowest zero-RTO buffer,yes,relay-clean and zero timeouts
mb,pkt,llamaMoE,training,nvl64_pkt,16,16,128,136,4.1,100,1500,0,COMPLETE,184.705,1237,460,no,sweep,vanishing-timeout rule; quoted=yes is the shallowest zero-RTO buffer,no,timeouts present: 1237 (vanishing-timeout rule)
mb,pkt,llamaMoE,training,nvl64_pkt,16,16,128,272,8.2,100,1500,0,COMPLETE,236.723,192,501,no,sweep,vanishing-timeout rule; quoted=yes is the shallowest zero-RTO buffer,no,timeouts present: 192 (vanishing-timeout rule)
mb,pkt,llamaMoE,training,nvl64_pkt,16,16,128,544,16.5,100,1500,0,COMPLETE,184.693,2,524,no,sweep,vanishing-timeout rule; quoted=yes is the shallowest zero-RTO buffer,no,timeouts present: 2 (vanishing-timeout rule)
mb,pkt,llamaMoE,training,nvl64_pkt,16,16,128,1088,33.0,100,1500,0,COMPLETE,186.384,0,510,yes,sweep,vanishing-timeout rule; quoted=yes is the shallowest zero-RTO buffer,yes,relay-clean and zero timeouts
mb,pkt,llamaMoE,training,glassfb,16,32,128,1064,4.0,100,1500,0,COMPLETE,97.094,0,845,yes,sweep,vanishing-timeout rule; quoted=yes is the shallowest zero-RTO buffer,yes,relay-clean and zero timeouts
mb,pkt,llamaMoE,training,nvl64_pkt,16,32,128,136,4.1,100,1500,0,COMPLETE,384.251,1266,908,no,sweep,vanishing-timeout rule; quoted=yes is the shallowest zero-RTO buffer,,
mb,pkt,llamaMoE,training,nvl64_pkt,16,32,128,272,8.2,100,1500,0,COMPLETE,381.269,193,959,no,sweep,vanishing-timeout rule; quoted=yes is the shallowest zero-RTO buffer,,
