paper_ref,arm,grid,topo,opt_bw_GBps,port_bw_GBps,maxdist,ep,nodes,mb,cabling,walk,q,q_over_bdp,makespan_ms,rtos,drops,quotable,quotable_why,quoted_by,link_rate_fixed,binary_sha,source,note
panel_dse,4x4,4x4,flattened_butterfly,384,800,0,16,128,8,ep16_0_8_4.txt,g16b800,266,0.50,87.712,13,99989,no,not the first qualifying rung of this walk,collector,yes,8ca3c1c,cliff_postfix.csv,"derived from cliff_postfix.csv, which applies the declared ladder and the gap check; every rung is present, quotable marks the one the vanishing-timeout rule selects; arm=4x4 rows are the design-point reference, not part of the 8x8 sweep"
panel_dse,4x4,4x4,flattened_butterfly,384,800,0,16,128,8,ep16_0_8_4.txt,g16b800,533,1.00,87.700,0,0,yes,first zero-timeout rung (post-fix binary),collector,yes,8ca3c1c,cliff_postfix.csv,"derived from cliff_postfix.csv, which applies the declared ladder and the gap check; every rung is present, quotable marks the one the vanishing-timeout rule selects; arm=4x4 rows are the design-point reference, not part of the 8x8 sweep"
panel_dse,4x4,4x4,flattened_butterfly,384,800,0,16,128,8,ep16_0_8_4.txt,g16b800,533,1.00,87.700,0,0,no,not the first qualifying rung of this walk,collector,yes,fcdc6e7,cliff_postfix.csv,"derived from cliff_postfix.csv, which applies the declared ladder and the gap check; every rung is present, quotable marks the one the vanishing-timeout rule selects; arm=4x4 rows are the design-point reference, not part of the 8x8 sweep"
panel_dse,4x4,4x4,flattened_butterfly,384,800,0,16,128,8,ep16_0_8_4.txt,g16b800,1066,2.00,87.700,0,0,no,not the first qualifying rung of this walk,collector,yes,8ca3c1c,cliff_postfix.csv,"derived from cliff_postfix.csv, which applies the declared ladder and the gap check; every rung is present, quotable marks the one the vanishing-timeout rule selects; arm=4x4 rows are the design-point reference, not part of the 8x8 sweep"
panel_dse,4x4,4x4,flattened_butterfly,384,800,0,16,128,8,ep16_0_8_4.txt,g16b800,2133,4.00,87.700,0,0,no,not the first qualifying rung of this walk,collector,yes,8ca3c1c,cliff_postfix.csv,"derived from cliff_postfix.csv, which applies the declared ladder and the gap check; every rung is present, quotable marks the one the vanishing-timeout rule selects; arm=4x4 rows are the design-point reference, not part of the 8x8 sweep"
panel_dse,4x4,4x4,flattened_butterfly,384,800,0,16,128,8,ep16_0_8_4.txt,g16b800,4267,8.00,87.700,0,0,no,not the first qualifying rung of this walk,collector,yes,8ca3c1c,cliff_postfix.csv,"derived from cliff_postfix.csv, which applies the declared ladder and the gap check; every rung is present, quotable marks the one the vanishing-timeout rule selects; arm=4x4 rows are the design-point reference, not part of the 8x8 sweep"
panel_dse,4x4,4x4,flattened_butterfly,384,800,0,16,128,8,ep16_0_8_4.txt,g16b800,8533,16.00,87.700,0,0,no,not the first qualifying rung of this walk,collector,yes,8ca3c1c,cliff_postfix.csv,"derived from cliff_postfix.csv, which applies the declared ladder and the gap check; every rung is present, quotable marks the one the vanishing-timeout rule selects; arm=4x4 rows are the design-point reference, not part of the 8x8 sweep"
panel_dse,fb,8x8,flattened_butterfly,128,800,0,16,128,8,p64_ep16.txt,fb64_ep16,1066,2.00,94.889,0,1797,yes,first zero-timeout rung (post-fix binary),collector,yes,95c35a7,cliff_postfix.csv,"derived from cliff_postfix.csv, which applies the declared ladder and the gap check; every rung is present, quotable marks the one the vanishing-timeout rule selects; arm=4x4 rows are the design-point reference, not part of the 8x8 sweep"
panel_dse,fb,8x8,flattened_butterfly,128,800,0,16,128,8,p64_ep16.txt,fb64_ep16,2133,4.00,94.903,0,0,no,not the first qualifying rung of this walk,collector,yes,95c35a7,cliff_postfix.csv,"derived from cliff_postfix.csv, which applies the declared ladder and the gap check; every rung is present, quotable marks the one the vanishing-timeout rule selects; arm=4x4 rows are the design-point reference, not part of the 8x8 sweep"
panel_dse,fb,8x8,flattened_butterfly,128,800,0,16,128,8,p64_ep16.txt,fb64_ep16,4267,8.00,94.903,0,0,no,not the first qualifying rung of this walk,collector,yes,95c35a7,cliff_postfix.csv,"derived from cliff_postfix.csv, which applies the declared ladder and the gap check; every rung is present, quotable marks the one the vanishing-timeout rule selects; arm=4x4 rows are the design-point reference, not part of the 8x8 sweep"
