paper_ref,system,ep,nodes,domain,makespan_ms,q,q_makespan,q_banner_pkt,q_banner_ratio,flows,bytes_in_domain,bytes_nic,hops_in_domain,hops_cross,nvlink_pj_bit_lo,nvlink_pj_bit_hi,nic_pj_bit,link_J_iter_lo,link_J_iter_hi,nvs_static_W_per_gpu_lo,nvs_static_W_per_gpu_hi,static_J_iter_lo,static_J_iter_hi,hop_source,note
power,nvl64_pkt,16,128,64,130.797,544,544,520,0.9559,62848,625388100096,17179869184,2,1,1.55,5.0,16.0,9.9538,27.2145,7.5,12.5,125.5651,209.2752,topology_hoplog,"in-domain vs NIC from the topology's own hop log where present, else domain arithmetic (hop_source says which); NVSwitchTopology::get_paths routes cross-domain flows straight onto the NIC (nic_feeder->nic_q->nic_p), so they cross NO NVLink hop, while in-domain flows cross two (GPU->switch->GPU); flow set is workload-determined and verified equal to the glass run (78592 flows at EP=16); NIC 16.0 pJ/bit is the LOW (conservative) end of the 16-20 pJ/bit scale-out class, HotI'25 Tab. I, total incl. retimers -- it was an unsourced 15.0, below every documented figure, until this re-emission; brackets not collapsed"
power,nvl64_pkt,32,256,64,119.397,544,1088,520,0.9559,240384,1175885329408,103079215104,2,1,1.55,5.0,16.0,27.7751,60.2296,7.5,12.5,229.2422,382.0704,topology_hoplog,"in-domain vs NIC from the topology's own hop log where present, else domain arithmetic (hop_source says which); NVSwitchTopology::get_paths routes cross-domain flows straight onto the NIC (nic_feeder->nic_q->nic_p), so they cross NO NVLink hop, while in-domain flows cross two (GPU->switch->GPU); flow set is workload-determined and verified equal to the glass run (78592 flows at EP=16); NIC 16.0 pJ/bit is the LOW (conservative) end of the 16-20 pJ/bit scale-out class, HotI'25 Tab. I, total incl. retimers -- it was an unsourced 15.0, below every documented figure, until this re-emission; brackets not collapsed"
power,nvl64_pkt,64,512,64,82.502,2176,2176,2083,0.9573,939520,2203028938400,150651946160,2,1,1.55,5.0,16.0,46.6010,107.4046,7.5,12.5,316.8077,528.0128,topology_hoplog,"in-domain vs NIC from the topology's own hop log where present, else domain arithmetic (hop_source says which); NVSwitchTopology::get_paths routes cross-domain flows straight onto the NIC (nic_feeder->nic_q->nic_p), so they cross NO NVLink hop, while in-domain flows cross two (GPU->switch->GPU); flow set is workload-determined and verified equal to the glass run (78592 flows at EP=16); NIC 16.0 pJ/bit is the LOW (conservative) end of the 16-20 pJ/bit scale-out class, HotI'25 Tab. I, total incl. retimers -- it was an unsourced 15.0, below every documented figure, until this re-emission; brackets not collapsed"
power,nvl64_pkt,128,1024,64,247.218,,2176,,,3714048,4627940231488,3809018708832,2,1,1.55,5.0,16.0,544.9409,672.6720,7.5,12.5,1898.6342,3164.3904,domain_arithmetic,"in-domain vs NIC from the topology's own hop log where present, else domain arithmetic (hop_source says which); NVSwitchTopology::get_paths routes cross-domain flows straight onto the NIC (nic_feeder->nic_q->nic_p), so they cross NO NVLink hop, while in-domain flows cross two (GPU->switch->GPU); flow set is workload-determined and verified equal to the glass run (78592 flows at EP=16); NIC 16.0 pJ/bit is the LOW (conservative) end of the 16-20 pJ/bit scale-out class, HotI'25 Tab. I, total incl. retimers -- it was an unsourced 15.0, below every documented figure, until this re-emission; brackets not collapsed | EP=128 bytes from the glass port-map byte pass fl_logs/fl_ep128_arc.flowlog: the flow set is topology-independent (EP 16/32/64 logs from glass, NVL-64 and HGX-8 are the same multiset) and the split is domain arithmetic, which equals the topology hop log exactly at all six pairs that have one; flowlog line count 4757504 matches flows_total in the EP=128 rung rows"
power,nvl64_pkt_s1,16,128,64,89.430,544,2400,520,0.9559,62848,625388100096,17179869184,2,1,1.55,5.0,16.0,9.9538,27.2145,7.5,12.5,85.8528,143.0880,topology_hoplog,"in-domain vs NIC from the topology's own hop log where present, else domain arithmetic (hop_source says which); NVSwitchTopology::get_paths routes cross-domain flows straight onto the NIC (nic_feeder->nic_q->nic_p), so they cross NO NVLink hop, while in-domain flows cross two (GPU->switch->GPU); flow set is workload-determined and verified equal to the glass run (78592 flows at EP=16); NIC 16.0 pJ/bit is the LOW (conservative) end of the 16-20 pJ/bit scale-out class, HotI'25 Tab. I, total incl. retimers -- it was an unsourced 15.0, below every documented figure, until this re-emission; brackets not collapsed"
power,nvl64_pkt_s1,32,256,64,69.989,544,4800,520,0.9559,240384,1175885329408,103079215104,2,1,1.55,5.0,16.0,27.7751,60.2296,7.5,12.5,134.3789,223.9648,topology_hoplog,"in-domain vs NIC from the topology's own hop log where present, else domain arithmetic (hop_source says which); NVSwitchTopology::get_paths routes cross-domain flows straight onto the NIC (nic_feeder->nic_q->nic_p), so they cross NO NVLink hop, while in-domain flows cross two (GPU->switch->GPU); flow set is workload-determined and verified equal to the glass run (78592 flows at EP=16); NIC 16.0 pJ/bit is the LOW (conservative) end of the 16-20 pJ/bit scale-out class, HotI'25 Tab. I, total incl. retimers -- it was an unsourced 15.0, below every documented figure, until this re-emission; brackets not collapsed"
power,nvl64_pkt_s1,64,512,64,29.904,2176,9600,2083,0.9573,939520,2203028938400,150651946160,2,1,1.55,5.0,16.0,46.6010,107.4046,7.5,12.5,114.8314,191.3856,topology_hoplog,"in-domain vs NIC from the topology's own hop log where present, else domain arithmetic (hop_source says which); NVSwitchTopology::get_paths routes cross-domain flows straight onto the NIC (nic_feeder->nic_q->nic_p), so they cross NO NVLink hop, while in-domain flows cross two (GPU->switch->GPU); flow set is workload-determined and verified equal to the glass run (78592 flows at EP=16); NIC 16.0 pJ/bit is the LOW (conservative) end of the 16-20 pJ/bit scale-out class, HotI'25 Tab. I, total incl. retimers -- it was an unsourced 15.0, below every documented figure, until this re-emission; brackets not collapsed"
power,nvl64_pkt_s1,128,1024,64,240.730,,9600,,,3714048,4627940231488,3809018708832,2,1,1.55,5.0,16.0,544.9409,672.6720,7.5,12.5,1848.8064,3081.3440,domain_arithmetic,"in-domain vs NIC from the topology's own hop log where present, else domain arithmetic (hop_source says which); NVSwitchTopology::get_paths routes cross-domain flows straight onto the NIC (nic_feeder->nic_q->nic_p), so they cross NO NVLink hop, while in-domain flows cross two (GPU->switch->GPU); flow set is workload-determined and verified equal to the glass run (78592 flows at EP=16); NIC 16.0 pJ/bit is the LOW (conservative) end of the 16-20 pJ/bit scale-out class, HotI'25 Tab. I, total incl. retimers -- it was an unsourced 15.0, below every documented figure, until this re-emission; brackets not collapsed | EP=128 bytes from the glass port-map byte pass fl_logs/fl_ep128_arc.flowlog: the flow set is topology-independent (EP 16/32/64 logs from glass, NVL-64 and HGX-8 are the same multiset) and the split is domain arithmetic, which equals the topology hop log exactly at all six pairs that have one; flowlog line count 4757504 matches flows_total in the EP=128 rung rows"
power,hgx8_pkt,16,128,8,145.497,1224,1224,1171,0.9567,62848,315160941376,172293448544,2,1,1.55,5.0,16.0,25.9616,34.6600,7.5,12.5,139.6771,232.7952,topology_hoplog,"in-domain vs NIC from the topology's own hop log where present, else domain arithmetic (hop_source says which); NVSwitchTopology::get_paths routes cross-domain flows straight onto the NIC (nic_feeder->nic_q->nic_p), so they cross NO NVLink hop, while in-domain flows cross two (GPU->switch->GPU); flow set is workload-determined and verified equal to the glass run (78592 flows at EP=16); NIC 16.0 pJ/bit is the LOW (conservative) end of the 16-20 pJ/bit scale-out class, HotI'25 Tab. I, total incl. retimers -- it was an unsourced 15.0, below every documented figure, until this re-emission; brackets not collapsed"
power,hgx8_pkt,32,256,8,164.522,1224,1224,1171,0.9567,240384,285491832448,548275963584,2,1,1.55,5.0,16.0,73.7194,81.5990,7.5,12.5,315.8822,526.4704,topology_hoplog,"in-domain vs NIC from the topology's own hop log where present, else domain arithmetic (hop_source says which); NVSwitchTopology::get_paths routes cross-domain flows straight onto the NIC (nic_feeder->nic_q->nic_p), so they cross NO NVLink hop, while in-domain flows cross two (GPU->switch->GPU); flow set is workload-determined and verified equal to the glass run (78592 flows at EP=16); NIC 16.0 pJ/bit is the LOW (conservative) end of the 16-20 pJ/bit scale-out class, HotI'25 Tab. I, total incl. retimers -- it was an unsourced 15.0, below every documented figure, until this re-emission; brackets not collapsed"
