workload,ep,nodes,topology,bw_gbps,G,makespan_ps,makespan_ms,rtos
decode,32,32,glassfb_mesh,400,1,22129501312,22.130,116
decode,32,32,glassfb_mesh,400,4,1428552128,1.429,0
decode,64,64,glassfb_mesh,400,1,52010118246,52.010,542
decode,64,64,glassfb_mesh,400,4,1270500448,1.271,0
decode,32,32,glassfb_mesh,800,1,832563300,0.833,0
decode,32,32,glassfb_mesh,800,4,973457839,0.973,0
decode,64,64,glassfb_mesh,800,1,51006512153,51.007,11
decode,64,64,glassfb_mesh,800,4,948890217,0.949,0
decode,32,32,glassfb_mesh,1600,1,767016036,0.767,0
decode,32,32,glassfb_mesh,1600,4,767840558,0.768,0
decode,64,64,glassfb_mesh,1600,1,934846316,0.935,0
decode,64,64,glassfb_mesh,1600,4,785884760,0.786,0
coding_prefill,32,32,glassfb_mesh,400,1,30564320286,30.564,353
coding_prefill,32,32,glassfb_mesh,400,4,33090163752,33.090,0
coding_prefill,64,64,glassfb_mesh,400,1,37187934812,37.188,2994
coding_prefill,64,64,glassfb_mesh,400,4,32222622355,32.223,298
coding_prefill,32,32,glassfb_mesh,800,1,26527941984,26.528,185
coding_prefill,32,32,glassfb_mesh,800,4,17608721000,17.609,0
coding_prefill,64,64,glassfb_mesh,800,1,27159724567,27.160,1992
coding_prefill,64,64,glassfb_mesh,800,4,40421397199,40.421,155
coding_prefill,32,32,glassfb_mesh,1600,1,8246596948,8.247,0
coding_prefill,32,32,glassfb_mesh,1600,4,8495876314,8.496,0
coding_prefill,64,64,glassfb_mesh,1600,1,25929274570,25.929,716
coding_prefill,64,64,glassfb_mesh,1600,4,46028299484,46.028,68
chat_prefill,32,32,glassfb_mesh,400,1,23958947687,23.959,377
chat_prefill,32,32,glassfb_mesh,400,4,8559740064,8.560,0
chat_prefill,64,64,glassfb_mesh,400,1,24204685018,24.205,2560
chat_prefill,64,64,glassfb_mesh,400,4,22015211804,22.015,7
chat_prefill,32,32,glassfb_mesh,800,1,23052201928,23.052,184
chat_prefill,32,32,glassfb_mesh,800,4,4721239346,4.721,0
chat_prefill,64,64,glassfb_mesh,800,1,23542871587,23.543,1502
chat_prefill,64,64,glassfb_mesh,800,4,22015025510,22.015,6
chat_prefill,32,32,glassfb_mesh,1600,1,2423590216,2.424,0
chat_prefill,32,32,glassfb_mesh,1600,4,2514784826,2.515,0
chat_prefill,64,64,glassfb_mesh,1600,1,51041449238,51.041,505
chat_prefill,64,64,glassfb_mesh,1600,4,2265150582,2.265,0
agentic_prefill,32,32,glassfb_mesh,400,1,42677511244,42.678,356
agentic_prefill,32,32,glassfb_mesh,400,4,65949783728,65.950,0
agentic_prefill,64,64,glassfb_mesh,400,1,55042623395,55.043,3029
agentic_prefill,64,64,glassfb_mesh,400,4,91406783768,91.407,300
agentic_prefill,32,32,glassfb_mesh,800,1,30047243458,30.047,184
agentic_prefill,32,32,glassfb_mesh,800,4,34835715870,34.836,0
agentic_prefill,64,64,glassfb_mesh,800,1,31951788594,31.952,1907
agentic_prefill,64,64,glassfb_mesh,800,4,29525924870,29.526,143
agentic_prefill,32,32,glassfb_mesh,1600,1,15941586180,15.942,0
agentic_prefill,32,32,glassfb_mesh,1600,4,16671738490,16.672,0
agentic_prefill,64,64,glassfb_mesh,1600,1,33183024453,33.183,698
agentic_prefill,64,64,glassfb_mesh,1600,4,44349413931,44.349,67
