workload,ep,nodes,topology,bw_gbps,G,fair_speed_mbps,glassfb_agg_gbps,glassfb_power_w,makespan_ps,makespan_ms,rtos
decode,32,32,fattree,400,1,1196000,20800.00,23.9200,1139124962,1.139,0
decode,32,32,flat,400,1,1196000,20800.00,23.9200,490337108,0.490,0
decode,64,64,fattree,400,1,1196000,20800.00,23.9200,1102777540,1.103,0
decode,64,64,flat,400,1,1196000,20800.00,23.9200,411702860,0.412,0
coding_prefill,32,32,fattree,400,1,1196000,20800.00,23.9200,13419379490,13.419,0
coding_prefill,32,32,flat,400,1,1196000,20800.00,23.9200,4066331916,4.066,0
coding_prefill,64,64,fattree,400,1,1196000,20800.00,23.9200,15899234744,15.899,0
coding_prefill,64,64,flat,400,1,1196000,20800.00,23.9200,3719078348,3.719,0
chat_prefill,32,32,fattree,400,1,1196000,20800.00,23.9200,4111804640,4.112,0
chat_prefill,32,32,flat,400,1,1196000,20800.00,23.9200,1280256012,1.280,0
chat_prefill,64,64,fattree,400,1,1196000,20800.00,23.9200,4482652182,4.483,0
chat_prefill,64,64,flat,400,1,1196000,20800.00,23.9200,1112341732,1.112,0
agentic_prefill,32,32,fattree,400,1,1196000,20800.00,23.9200,25768971460,25.769,0
agentic_prefill,32,32,flat,400,1,1196000,20800.00,23.9200,7917671956,7.918,0
agentic_prefill,64,64,fattree,400,1,1196000,20800.00,23.9200,30561028728,30.561,0
agentic_prefill,64,64,flat,400,1,1196000,20800.00,23.9200,6736968540,6.737,0
decode,32,32,fattree,400,4,1058000,18400.00,21.1600,1178047439,1.178,0
decode,32,32,flat,400,4,1058000,18400.00,21.1600,490801982,0.491,0
decode,64,64,fattree,400,4,1058000,18400.00,21.1600,1131872104,1.132,0
decode,64,64,flat,400,4,1058000,18400.00,21.1600,412183530,0.412,0
coding_prefill,32,32,fattree,400,4,1058000,18400.00,21.1600,15171025294,15.171,0
coding_prefill,32,32,flat,400,4,1058000,18400.00,21.1600,4446201470,4.446,0
coding_prefill,64,64,fattree,400,4,1058000,18400.00,21.1600,18116458872,18.116,0
coding_prefill,64,64,flat,400,4,1058000,18400.00,21.1600,4104934302,4.105,0
chat_prefill,32,32,fattree,400,4,1058000,18400.00,21.1600,4474026907,4.474,0
chat_prefill,32,32,flat,400,4,1058000,18400.00,21.1600,1354969670,1.355,0
chat_prefill,64,64,fattree,400,4,1058000,18400.00,21.1600,4956575194,4.957,0
chat_prefill,64,64,flat,400,4,1058000,18400.00,21.1600,1188921994,1.189,0
agentic_prefill,32,32,fattree,400,4,1058000,18400.00,21.1600,28889098879,28.889,0
agentic_prefill,32,32,flat,400,4,1058000,18400.00,21.1600,8686430922,8.686,0
agentic_prefill,64,64,fattree,400,4,1058000,18400.00,21.1600,34745988867,34.746,0
agentic_prefill,64,64,flat,400,4,1058000,18400.00,21.1600,7518430902,7.518,0
decode,32,32,fattree,800,1,1380000,24000.00,27.6000,1095059285,1.095,0
decode,32,32,flat,800,1,1380000,24000.00,27.6000,489933590,0.490,0
decode,64,64,fattree,800,1,1380000,24000.00,27.6000,1059387731,1.059,0
decode,64,64,flat,800,1,1380000,24000.00,27.6000,411283546,0.411,0
coding_prefill,32,32,fattree,800,1,1380000,24000.00,27.6000,11769300096,11.769,0
coding_prefill,32,32,flat,800,1,1380000,24000.00,27.6000,3705532626,3.706,0
coding_prefill,64,64,fattree,800,1,1380000,24000.00,27.6000,13877917669,13.878,0
coding_prefill,64,64,flat,800,1,1380000,24000.00,27.6000,3346180234,3.346,0
chat_prefill,32,32,fattree,800,1,1380000,24000.00,27.6000,3496225285,3.496,0
chat_prefill,32,32,flat,800,1,1380000,24000.00,27.6000,1180709610,1.181,0
chat_prefill,64,64,fattree,800,1,1380000,24000.00,27.6000,3949865228,3.950,0
chat_prefill,64,64,flat,800,1,1380000,24000.00,27.6000,1012267818,1.012,0
agentic_prefill,32,32,fattree,800,1,1380000,24000.00,27.6000,22197910913,22.198,0
agentic_prefill,32,32,flat,800,1,1380000,24000.00,27.6000,7200349478,7.200,0
agentic_prefill,64,64,fattree,800,1,1380000,24000.00,27.6000,26191166751,26.191,0
agentic_prefill,64,64,flat,800,1,1380000,24000.00,27.6000,6000849626,6.001,0
decode,32,32,fattree,800,4,1104000,19200.00,22.0800,1178047439,1.178,0
decode,32,32,flat,800,4,1104000,19200.00,22.0800,490801982,0.491,0
decode,64,64,fattree,800,4,1104000,19200.00,22.0800,1131872104,1.132,0
decode,64,64,flat,800,4,1104000,19200.00,22.0800,412183530,0.412,0
coding_prefill,32,32,fattree,800,4,1104000,19200.00,22.0800,15171025294,15.171,0
coding_prefill,32,32,flat,800,4,1104000,19200.00,22.0800,4446201470,4.446,0
coding_prefill,64,64,fattree,800,4,1104000,19200.00,22.0800,18116458872,18.116,0
coding_prefill,64,64,flat,800,4,1104000,19200.00,22.0800,4104934302,4.105,0
chat_prefill,32,32,fattree,800,4,1104000,19200.00,22.0800,4474026907,4.474,0
chat_prefill,32,32,flat,800,4,1104000,19200.00,22.0800,1354969670,1.355,0
chat_prefill,64,64,fattree,800,4,1104000,19200.00,22.0800,4956575194,4.957,0
chat_prefill,64,64,flat,800,4,1104000,19200.00,22.0800,1188921994,1.189,0
agentic_prefill,32,32,fattree,800,4,1104000,19200.00,22.0800,28889098879,28.889,0
agentic_prefill,32,32,flat,800,4,1104000,19200.00,22.0800,8686430922,8.686,0
agentic_prefill,64,64,fattree,800,4,1104000,19200.00,22.0800,34745988867,34.746,0
agentic_prefill,64,64,flat,800,4,1104000,19200.00,22.0800,7518430902,7.518,0
decode,32,32,fattree,1600,1,1748000,30400.00,34.9600,1045250244,1.045,0
decode,32,32,flat,1600,1,1748000,30400.00,34.9600,489530072,0.490,0
decode,64,64,fattree,1600,1,1748000,30400.00,34.9600,1018684304,1.019,0
decode,64,64,flat,1600,1,1748000,30400.00,34.9600,410864232,0.411,0
coding_prefill,32,32,fattree,1600,1,1748000,30400.00,34.9600,10070751336,10.071,0
coding_prefill,32,32,flat,1600,1,1748000,30400.00,34.9600,3372299784,3.372,0
coding_prefill,64,64,fattree,1600,1,1748000,30400.00,34.9600,11550302528,11.550,0
coding_prefill,64,64,flat,1600,1,1748000,30400.00,34.9600,3004279544,3.004,0
chat_prefill,32,32,fattree,1600,1,1748000,30400.00,34.9600,3113684016,3.114,0
chat_prefill,32,32,flat,1600,1,1748000,30400.00,34.9600,1116738232,1.117,0
chat_prefill,64,64,fattree,1600,1,1748000,30400.00,34.9600,3579224080,3.579,0
chat_prefill,64,64,flat,1600,1,1748000,30400.00,34.9600,945181016,0.945,0
agentic_prefill,32,32,fattree,1600,1,1748000,30400.00,34.9600,18884083392,18.884,0
agentic_prefill,32,32,flat,1600,1,1748000,30400.00,34.9600,6491921304,6.492,0
agentic_prefill,64,64,fattree,1600,1,1748000,30400.00,34.9600,22175788544,22.176,0
agentic_prefill,64,64,flat,1600,1,1748000,30400.00,34.9600,5276071112,5.276,0
decode,32,32,fattree,1600,4,1196000,20800.00,23.9200,1139124962,1.139,0
decode,32,32,flat,1600,4,1196000,20800.00,23.9200,490337108,0.490,0
decode,64,64,fattree,1600,4,1196000,20800.00,23.9200,1102777540,1.103,0
decode,64,64,flat,1600,4,1196000,20800.00,23.9200,411702860,0.412,0
coding_prefill,32,32,fattree,1600,4,1196000,20800.00,23.9200,13419379490,13.419,0
coding_prefill,32,32,flat,1600,4,1196000,20800.00,23.9200,4066331916,4.066,0
coding_prefill,64,64,fattree,1600,4,1196000,20800.00,23.9200,15899234744,15.899,0
coding_prefill,64,64,flat,1600,4,1196000,20800.00,23.9200,3719078348,3.719,0
chat_prefill,32,32,fattree,1600,4,1196000,20800.00,23.9200,4111804640,4.112,0
chat_prefill,32,32,flat,1600,4,1196000,20800.00,23.9200,1280256012,1.280,0
chat_prefill,64,64,fattree,1600,4,1196000,20800.00,23.9200,4482652182,4.483,0
chat_prefill,64,64,flat,1600,4,1196000,20800.00,23.9200,1112341732,1.112,0
agentic_prefill,32,32,fattree,1600,4,1196000,20800.00,23.9200,25768971460,25.769,0
agentic_prefill,32,32,flat,1600,4,1196000,20800.00,23.9200,7917671956,7.918,0
agentic_prefill,64,64,fattree,1600,4,1196000,20800.00,23.9200,30561028728,30.561,0
agentic_prefill,64,64,flat,1600,4,1196000,20800.00,23.9200,6736968540,6.737,0
