workload,ep,nodes,topology,bw_gbps,G,makespan_ps,makespan_ms,rtos
decode,128,128,glassfb_mesh,400,1,53003938067,53.004,2290
decode,128,128,glassfb_mesh,400,4,2183386992,2.183,0
decode,144,144,glassfb_mesh,400,1,53066657450,53.067,5104
decode,144,144,glassfb_mesh,400,4,1972481638,1.972,0
decode,128,128,glassfb_mesh,800,1,52010629233,52.011,1767
decode,128,128,glassfb_mesh,800,4,1600374002,1.600,0
decode,144,144,glassfb_mesh,800,1,52012626778,52.013,2251
decode,144,144,glassfb_mesh,800,4,1441136704,1.441,0
decode,128,128,glassfb_mesh,1600,1,53024562879,53.025,2620
decode,128,128,glassfb_mesh,1600,4,1189178774,1.189,0
decode,144,144,glassfb_mesh,1600,1,52019947954,52.020,2372
decode,144,144,glassfb_mesh,1600,4,1155065246,1.155,0
coding_prefill,128,128,glassfb_mesh,400,1,82829192128,82.829,19584
coding_prefill,128,128,glassfb_mesh,400,4,85159367972,85.159,4850
coding_prefill,144,144,glassfb_mesh,400,1,60499268203,60.499,24069
coding_prefill,144,144,glassfb_mesh,400,4,69514472500,69.514,6712
coding_prefill,128,128,glassfb_mesh,800,1,54019895785,54.020,15280
coding_prefill,128,128,glassfb_mesh,800,4,35831826062,35.832,3609
coding_prefill,144,144,glassfb_mesh,800,1,46350420722,46.350,19303
coding_prefill,144,144,glassfb_mesh,800,4,34072193647,34.072,5228
coding_prefill,128,128,glassfb_mesh,1600,1,61202251836,61.202,12007
coding_prefill,128,128,glassfb_mesh,1600,4,27546157853,27.546,3916
coding_prefill,144,144,glassfb_mesh,1600,1,48431731917,48.432,15747
coding_prefill,144,144,glassfb_mesh,1600,4,26335062881,26.335,5945
chat_prefill,128,128,glassfb_mesh,400,1,27769558822,27.770,13115
chat_prefill,128,128,glassfb_mesh,400,4,53015812861,53.016,855
chat_prefill,144,144,glassfb_mesh,400,1,26047224623,26.047,17326
chat_prefill,144,144,glassfb_mesh,400,4,55025251294,55.025,2337
chat_prefill,128,128,glassfb_mesh,800,1,25793708786,25.794,8824
chat_prefill,128,128,glassfb_mesh,800,4,51037660497,51.038,574
chat_prefill,144,144,glassfb_mesh,800,1,25120030317,25.120,11917
chat_prefill,144,144,glassfb_mesh,800,4,54022981650,54.023,1833
chat_prefill,128,128,glassfb_mesh,1600,1,26409674041,26.410,8852
chat_prefill,128,128,glassfb_mesh,1600,4,53015567759,53.016,419
chat_prefill,144,144,glassfb_mesh,1600,1,25591277139,25.591,10947
chat_prefill,144,144,glassfb_mesh,1600,4,54151016012,54.151,1812
agentic_prefill,128,128,glassfb_mesh,400,1,139228884523,139.229,21939
agentic_prefill,128,128,glassfb_mesh,400,4,208524942553,208.525,6158
agentic_prefill,144,144,glassfb_mesh,400,1,104606789951,104.607,26316
agentic_prefill,144,144,glassfb_mesh,400,4,172438647716,172.439,8321
agentic_prefill,128,128,glassfb_mesh,800,1,106434957161,106.435,17131
agentic_prefill,128,128,glassfb_mesh,800,4,89654580500,89.655,4542
agentic_prefill,144,144,glassfb_mesh,800,1,86670531434,86.671,22109
agentic_prefill,144,144,glassfb_mesh,800,4,75147539159,75.148,6262
agentic_prefill,128,128,glassfb_mesh,1600,1,116541931363,116.542,13038
agentic_prefill,128,128,glassfb_mesh,1600,4,38584471607,38.584,4635
agentic_prefill,144,144,glassfb_mesh,1600,1,85510808135,85.511,16629
agentic_prefill,144,144,glassfb_mesh,1600,4,35434590924,35.435,7151
