paper_ref,variant,substrate,pj_bit,hcp,tcp_in,tile_i,tile_j,tile_class,pic_w,pic_max_C,pic_min_C,pic_spread_C,die_max_C,bc_source
thermal,cal_h200k_tin40_plane,glass,1.15,200000,40,0,0,corner,59.14,72.319,42.779,29.540,72.190,wrapper:run_panel_extra.sh
thermal,cal_h200k_tin40_plane,glass,1.15,200000,40,0,1,edge,37.34,71.993,42.620,29.372,71.918,wrapper:run_panel_extra.sh
thermal,cal_h200k_tin40_plane,glass,1.15,200000,40,0,2,edge,37.34,71.993,42.620,29.372,71.918,wrapper:run_panel_extra.sh
thermal,cal_h200k_tin40_plane,glass,1.15,200000,40,0,3,corner,59.14,72.319,42.514,29.805,72.190,wrapper:run_panel_extra.sh
thermal,cal_h200k_tin40_plane,glass,1.15,200000,40,1,0,edge,37.34,76.990,46.421,30.569,76.916,wrapper:run_panel_extra.sh
thermal,cal_h200k_tin40_plane,glass,1.15,200000,40,1,1,interior,15.54,76.664,46.331,30.332,76.644,wrapper:run_panel_extra.sh
thermal,cal_h200k_tin40_plane,glass,1.15,200000,40,1,2,interior,15.54,76.664,46.331,30.332,76.644,wrapper:run_panel_extra.sh
thermal,cal_h200k_tin40_plane,glass,1.15,200000,40,1,3,edge,37.34,76.990,46.256,30.733,76.916,wrapper:run_panel_extra.sh
thermal,cal_h200k_tin40_plane,glass,1.15,200000,40,2,0,edge,37.34,81.987,51.405,30.582,81.913,wrapper:run_panel_extra.sh
thermal,cal_h200k_tin40_plane,glass,1.15,200000,40,2,1,interior,15.54,81.661,51.315,30.346,81.641,wrapper:run_panel_extra.sh
thermal,cal_h200k_tin40_plane,glass,1.15,200000,40,2,2,interior,15.54,81.661,51.315,30.346,81.641,wrapper:run_panel_extra.sh
thermal,cal_h200k_tin40_plane,glass,1.15,200000,40,2,3,edge,37.34,81.987,51.243,30.744,81.913,wrapper:run_panel_extra.sh
thermal,cal_h200k_tin40_plane,glass,1.15,200000,40,3,0,corner,59.14,87.310,56.491,30.818,87.183,wrapper:run_panel_extra.sh
thermal,cal_h200k_tin40_plane,glass,1.15,200000,40,3,1,edge,37.34,86.984,56.402,30.582,86.911,wrapper:run_panel_extra.sh
thermal,cal_h200k_tin40_plane,glass,1.15,200000,40,3,2,edge,37.34,86.984,56.402,30.582,86.911,wrapper:run_panel_extra.sh
thermal,cal_h200k_tin40_plane,glass,1.15,200000,40,3,3,corner,59.14,87.310,56.321,30.989,87.183,wrapper:run_panel_extra.sh
thermal,cal_h200k_tin40_plane_si,si,1.15,200000,40,0,0,corner,59.14,70.695,43.130,27.565,70.762,wrapper:run_panel_extra.sh
thermal,cal_h200k_tin40_plane_si,si,1.15,200000,40,0,1,edge,37.34,70.378,42.971,27.407,70.490,wrapper:run_panel_extra.sh
thermal,cal_h200k_tin40_plane_si,si,1.15,200000,40,0,2,edge,37.34,70.378,42.971,27.407,70.490,wrapper:run_panel_extra.sh
thermal,cal_h200k_tin40_plane_si,si,1.15,200000,40,0,3,corner,59.14,70.695,42.715,27.980,70.762,wrapper:run_panel_extra.sh
thermal,cal_h200k_tin40_plane_si,si,1.15,200000,40,1,0,edge,37.34,75.375,46.776,28.599,75.487,wrapper:run_panel_extra.sh
thermal,cal_h200k_tin40_plane_si,si,1.15,200000,40,1,1,interior,15.54,75.058,46.676,28.382,75.215,wrapper:run_panel_extra.sh
thermal,cal_h200k_tin40_plane_si,si,1.15,200000,40,1,2,interior,15.54,75.058,46.676,28.382,75.215,wrapper:run_panel_extra.sh
thermal,cal_h200k_tin40_plane_si,si,1.15,200000,40,1,3,edge,37.34,75.375,46.501,28.874,75.487,wrapper:run_panel_extra.sh
thermal,cal_h200k_tin40_plane_si,si,1.15,200000,40,2,0,edge,37.34,80.372,51.743,28.629,80.485,wrapper:run_panel_extra.sh
thermal,cal_h200k_tin40_plane_si,si,1.15,200000,40,2,1,interior,15.54,80.055,51.643,28.412,80.213,wrapper:run_panel_extra.sh
thermal,cal_h200k_tin40_plane_si,si,1.15,200000,40,2,2,interior,15.54,80.055,51.643,28.412,80.213,wrapper:run_panel_extra.sh
thermal,cal_h200k_tin40_plane_si,si,1.15,200000,40,2,3,edge,37.34,80.372,51.475,28.897,80.485,wrapper:run_panel_extra.sh
thermal,cal_h200k_tin40_plane_si,si,1.15,200000,40,3,0,corner,59.14,85.687,56.841,28.846,85.755,wrapper:run_panel_extra.sh
thermal,cal_h200k_tin40_plane_si,si,1.15,200000,40,3,1,edge,37.34,85.369,56.740,28.629,85.482,wrapper:run_panel_extra.sh
thermal,cal_h200k_tin40_plane_si,si,1.15,200000,40,3,2,edge,37.34,85.369,56.740,28.629,85.482,wrapper:run_panel_extra.sh
thermal,cal_h200k_tin40_plane_si,si,1.15,200000,40,3,3,corner,59.14,85.687,56.557,29.130,85.754,wrapper:run_panel_extra.sh
