paper_ref,variant,substrate,pj_bit,hcp,tcp_in,tile_i,tile_j,tile_class,pic_w,pic_max_C,pic_min_C,pic_spread_C,die_max_C,bc_source
thermal,design_map_1p15_tin40,glass,1.15,70000,40,0,0,corner,59.14,105.174,46.484,58.690,105.092,wrapper:run_panel_extra.sh
thermal,design_map_1p15_tin40,glass,1.15,70000,40,0,1,edge,37.34,104.596,46.200,58.396,104.567,wrapper:run_panel_extra.sh
thermal,design_map_1p15_tin40,glass,1.15,70000,40,0,2,edge,37.34,104.596,46.200,58.396,104.567,wrapper:run_panel_extra.sh
thermal,design_map_1p15_tin40,glass,1.15,70000,40,0,3,corner,59.14,105.174,45.562,59.612,105.091,wrapper:run_panel_extra.sh
thermal,design_map_1p15_tin40,glass,1.15,70000,40,1,0,edge,37.34,109.591,48.912,60.679,109.562,wrapper:run_panel_extra.sh
thermal,design_map_1p15_tin40,glass,1.15,70000,40,1,1,interior,15.54,109.013,48.733,60.280,109.038,wrapper:run_panel_extra.sh
thermal,design_map_1p15_tin40,glass,1.15,70000,40,1,2,interior,15.54,109.013,48.733,60.280,109.038,wrapper:run_panel_extra.sh
thermal,design_map_1p15_tin40,glass,1.15,70000,40,1,3,edge,37.34,109.591,48.292,61.299,109.562,wrapper:run_panel_extra.sh
thermal,design_map_1p15_tin40,glass,1.15,70000,40,2,0,edge,37.34,114.586,53.854,60.732,114.558,wrapper:run_panel_extra.sh
thermal,design_map_1p15_tin40,glass,1.15,70000,40,2,1,interior,15.54,114.008,53.675,60.333,114.033,wrapper:run_panel_extra.sh
thermal,design_map_1p15_tin40,glass,1.15,70000,40,2,2,interior,15.54,114.008,53.675,60.333,114.033,wrapper:run_panel_extra.sh
thermal,design_map_1p15_tin40,glass,1.15,70000,40,2,3,edge,37.34,114.585,53.245,61.341,114.558,wrapper:run_panel_extra.sh
thermal,design_map_1p15_tin40,glass,1.15,70000,40,3,0,corner,59.14,120.159,59.028,61.130,120.078,wrapper:run_panel_extra.sh
thermal,design_map_1p15_tin40,glass,1.15,70000,40,3,1,edge,37.34,119.580,58.849,60.731,119.553,wrapper:run_panel_extra.sh
thermal,design_map_1p15_tin40,glass,1.15,70000,40,3,2,edge,37.34,119.580,58.849,60.731,119.553,wrapper:run_panel_extra.sh
thermal,design_map_1p15_tin40,glass,1.15,70000,40,3,3,corner,59.14,120.158,58.392,61.766,120.077,wrapper:run_panel_extra.sh
thermal,design_map_1p15_h100k,glass,1.15,100000,55,0,0,corner,59.14,105.560,59.716,45.844,105.456,wrapper:run_panel_extra.sh
