paper_ref,variant,substrate,pj_bit,hcp,tcp_in,tile_i,tile_j,tile_class,pic_w,pic_max_C,pic_min_C,pic_spread_C,die_max_C,bc_source
thermal,cal_fhot0p25_h200k_tin40,glass,1.15,200000,40,0,0,corner,59.14,57.930,43.841,14.089,57.796,wrapper:run_panel_extra.sh
thermal,cal_fhot0p25_h200k_tin40,glass,1.15,200000,40,0,1,edge,37.34,57.604,43.682,13.922,57.524,wrapper:run_panel_extra.sh
thermal,cal_fhot0p25_h200k_tin40,glass,1.15,200000,40,0,2,edge,37.34,57.604,43.682,13.922,57.524,wrapper:run_panel_extra.sh
thermal,cal_fhot0p25_h200k_tin40,glass,1.15,200000,40,0,3,corner,59.14,57.930,43.456,14.474,57.796,wrapper:run_panel_extra.sh
thermal,cal_fhot0p25_h200k_tin40,glass,1.15,200000,40,1,0,edge,37.34,62.601,47.045,15.557,62.522,wrapper:run_panel_extra.sh
thermal,cal_fhot0p25_h200k_tin40,glass,1.15,200000,40,1,1,interior,15.54,62.275,46.955,15.320,62.250,wrapper:run_panel_extra.sh
thermal,cal_fhot0p25_h200k_tin40,glass,1.15,200000,40,1,2,interior,15.54,62.275,46.955,15.320,62.250,wrapper:run_panel_extra.sh
thermal,cal_fhot0p25_h200k_tin40,glass,1.15,200000,40,1,3,edge,37.34,62.601,46.802,15.799,62.522,wrapper:run_panel_extra.sh
thermal,cal_fhot0p25_h200k_tin40,glass,1.15,200000,40,2,0,edge,37.34,67.598,52.029,15.570,67.520,wrapper:run_panel_extra.sh
thermal,cal_fhot0p25_h200k_tin40,glass,1.15,200000,40,2,1,interior,15.54,67.272,51.939,15.333,67.248,wrapper:run_panel_extra.sh
thermal,cal_fhot0p25_h200k_tin40,glass,1.15,200000,40,2,2,interior,15.54,67.272,51.939,15.333,67.248,wrapper:run_panel_extra.sh
thermal,cal_fhot0p25_h200k_tin40,glass,1.15,200000,40,2,3,edge,37.34,67.598,51.789,15.809,67.520,wrapper:run_panel_extra.sh
thermal,cal_fhot0p25_h200k_tin40,glass,1.15,200000,40,3,0,corner,59.14,72.921,57.115,15.806,72.789,wrapper:run_panel_extra.sh
thermal,cal_fhot0p25_h200k_tin40,glass,1.15,200000,40,3,1,edge,37.34,72.595,57.026,15.570,72.517,wrapper:run_panel_extra.sh
thermal,cal_fhot0p25_h200k_tin40,glass,1.15,200000,40,3,2,edge,37.34,72.595,57.026,15.570,72.517,wrapper:run_panel_extra.sh
thermal,cal_fhot0p25_h200k_tin40,glass,1.15,200000,40,3,3,corner,59.14,72.921,56.867,16.054,72.789,wrapper:run_panel_extra.sh
thermal,cal_fhot0p35_h200k_tin40,glass,1.15,200000,40,0,0,corner,59.14,63.685,43.416,20.268,63.550,wrapper:run_panel_extra.sh
thermal,cal_fhot0p35_h200k_tin40,glass,1.15,200000,40,0,1,edge,37.34,63.359,43.257,20.101,63.278,wrapper:run_panel_extra.sh
thermal,cal_fhot0p35_h200k_tin40,glass,1.15,200000,40,0,2,edge,37.34,63.359,43.257,20.101,63.278,wrapper:run_panel_extra.sh
thermal,cal_fhot0p35_h200k_tin40,glass,1.15,200000,40,0,3,corner,59.14,63.685,43.079,20.605,63.550,wrapper:run_panel_extra.sh
thermal,cal_fhot0p35_h200k_tin40,glass,1.15,200000,40,1,0,edge,37.34,68.356,46.795,21.561,68.275,wrapper:run_panel_extra.sh
thermal,cal_fhot0p35_h200k_tin40,glass,1.15,200000,40,1,1,interior,15.54,68.030,46.706,21.324,68.003,wrapper:run_panel_extra.sh
thermal,cal_fhot0p35_h200k_tin40,glass,1.15,200000,40,1,2,interior,15.54,68.030,46.706,21.324,68.003,wrapper:run_panel_extra.sh
thermal,cal_fhot0p35_h200k_tin40,glass,1.15,200000,40,1,3,edge,37.34,68.356,46.584,21.772,68.275,wrapper:run_panel_extra.sh
thermal,cal_fhot0p35_h200k_tin40,glass,1.15,200000,40,2,0,edge,37.34,73.353,51.779,21.574,73.273,wrapper:run_panel_extra.sh
thermal,cal_fhot0p35_h200k_tin40,glass,1.15,200000,40,2,1,interior,15.54,73.027,51.690,21.337,73.001,wrapper:run_panel_extra.sh
thermal,cal_fhot0p35_h200k_tin40,glass,1.15,200000,40,2,2,interior,15.54,73.027,51.690,21.337,73.001,wrapper:run_panel_extra.sh
thermal,cal_fhot0p35_h200k_tin40,glass,1.15,200000,40,2,3,edge,37.34,73.353,51.571,21.782,73.273,wrapper:run_panel_extra.sh
thermal,cal_fhot0p35_h200k_tin40,glass,1.15,200000,40,3,0,corner,59.14,78.676,56.866,21.810,78.543,wrapper:run_panel_extra.sh
thermal,cal_fhot0p35_h200k_tin40,glass,1.15,200000,40,3,1,edge,37.34,78.350,56.776,21.574,78.271,wrapper:run_panel_extra.sh
