paper_ref,variant,substrate,pj_bit,hcp,tile_i,tile_j,tile_class,pic_w,pic_max_C,pic_min_C,pic_spread_C,die_max_C,bc_source
thermal,die_only_h70k,glass,none,70000,0,0,corner,0.00,118.597,60.571,58.027,118.655,wrapper:run_panel_h70k.sh
thermal,die_only_h70k,glass,none,70000,0,1,edge,0.00,118.597,60.571,58.027,118.655,wrapper:run_panel_h70k.sh
thermal,die_only_h70k,glass,none,70000,0,2,edge,0.00,118.597,60.571,58.027,118.655,wrapper:run_panel_h70k.sh
thermal,die_only_h70k,glass,none,70000,0,3,corner,0.00,118.597,59.717,58.880,118.655,wrapper:run_panel_h70k.sh
thermal,die_only_h70k,glass,none,70000,1,0,edge,0.00,123.592,63.499,60.093,123.651,wrapper:run_panel_h70k.sh
thermal,die_only_h70k,glass,none,70000,1,1,interior,0.00,123.592,63.499,60.092,123.650,wrapper:run_panel_h70k.sh
thermal,die_only_h70k,glass,none,70000,1,2,interior,0.00,123.592,63.499,60.092,123.650,wrapper:run_panel_h70k.sh
thermal,die_only_h70k,glass,none,70000,1,3,edge,0.00,123.592,62.900,60.692,123.650,wrapper:run_panel_h70k.sh
thermal,die_only_h70k,glass,none,70000,2,0,edge,0.00,128.587,68.494,60.093,128.646,wrapper:run_panel_h70k.sh
thermal,die_only_h70k,glass,none,70000,2,1,interior,0.00,128.587,68.494,60.092,128.646,wrapper:run_panel_h70k.sh
thermal,die_only_h70k,glass,none,70000,2,2,interior,0.00,128.587,68.494,60.092,128.646,wrapper:run_panel_h70k.sh
thermal,die_only_h70k,glass,none,70000,2,3,edge,0.00,128.587,67.895,60.692,128.646,wrapper:run_panel_h70k.sh
thermal,die_only_h70k,glass,none,70000,3,0,corner,0.00,133.582,73.489,60.093,133.641,wrapper:run_panel_h70k.sh
thermal,die_only_h70k,glass,none,70000,3,1,edge,0.00,133.582,73.489,60.092,133.641,wrapper:run_panel_h70k.sh
thermal,die_only_h70k,glass,none,70000,3,2,edge,0.00,133.582,73.489,60.092,133.641,wrapper:run_panel_h70k.sh
thermal,die_only_h70k,glass,none,70000,3,3,corner,0.00,133.582,72.890,60.692,133.641,wrapper:run_panel_h70k.sh
thermal,die_only_h70k_si,si,none,70000,0,0,corner,0.00,112.460,61.207,51.253,112.962,wrapper:run_panel_h70k.sh
thermal,die_only_h70k_si,si,none,70000,0,1,edge,0.00,112.457,61.207,51.250,112.959,wrapper:run_panel_h70k.sh
thermal,die_only_h70k_si,si,none,70000,0,2,edge,0.00,112.457,61.207,51.250,112.959,wrapper:run_panel_h70k.sh
thermal,die_only_h70k_si,si,none,70000,0,3,corner,0.00,112.456,60.193,52.263,112.958,wrapper:run_panel_h70k.sh
thermal,die_only_h70k_si,si,none,70000,1,0,edge,0.00,117.451,64.224,53.228,117.954,wrapper:run_panel_h70k.sh
thermal,die_only_h70k_si,si,none,70000,1,1,interior,0.00,117.448,64.224,53.225,117.951,wrapper:run_panel_h70k.sh
thermal,die_only_h70k_si,si,none,70000,1,2,interior,0.00,117.448,64.224,53.225,117.951,wrapper:run_panel_h70k.sh
thermal,die_only_h70k_si,si,none,70000,1,3,edge,0.00,117.447,63.471,53.977,117.950,wrapper:run_panel_h70k.sh
thermal,die_only_h70k_si,si,none,70000,2,0,edge,0.00,122.446,69.219,53.228,122.949,wrapper:run_panel_h70k.sh
thermal,die_only_h70k_si,si,none,70000,2,1,interior,0.00,122.443,69.219,53.225,122.946,wrapper:run_panel_h70k.sh
thermal,die_only_h70k_si,si,none,70000,2,2,interior,0.00,122.443,69.219,53.225,122.946,wrapper:run_panel_h70k.sh
thermal,die_only_h70k_si,si,none,70000,2,3,edge,0.00,122.442,68.465,53.977,122.945,wrapper:run_panel_h70k.sh
thermal,die_only_h70k_si,si,none,70000,3,0,corner,0.00,127.440,74.214,53.226,127.943,wrapper:run_panel_h70k.sh
thermal,die_only_h70k_si,si,none,70000,3,1,edge,0.00,127.437,74.214,53.223,127.940,wrapper:run_panel_h70k.sh
thermal,die_only_h70k_si,si,none,70000,3,2,edge,0.00,127.437,74.214,53.223,127.940,wrapper:run_panel_h70k.sh
thermal,die_only_h70k_si,si,none,70000,3,3,corner,0.00,127.436,73.460,53.975,127.939,wrapper:run_panel_h70k.sh
