paper_ref,variant,substrate,pj_bit,hcp,tile_i,tile_j,tile_class,pic_w,pic_max_C,pic_min_C,pic_spread_C,die_max_C,bc_source
thermal,die_only,glass,none,100000,0,0,corner,0.00,104.312,59.021,45.291,104.349,wrapper:run_panel_map.sh (gated against panhq db)
thermal,die_only,glass,none,100000,0,1,edge,0.00,104.312,59.021,45.291,104.349,wrapper:run_panel_map.sh (gated against panhq db)
thermal,die_only,glass,none,100000,0,2,edge,0.00,104.312,59.021,45.291,104.349,wrapper:run_panel_map.sh (gated against panhq db)
thermal,die_only,glass,none,100000,0,3,corner,0.00,104.312,58.463,45.848,104.349,wrapper:run_panel_map.sh (gated against panhq db)
thermal,die_only,glass,none,100000,1,0,edge,0.00,109.308,62.392,46.916,109.345,wrapper:run_panel_map.sh (gated against panhq db)
thermal,die_only,glass,none,100000,1,1,interior,0.00,109.308,62.392,46.916,109.345,wrapper:run_panel_map.sh (gated against panhq db)
thermal,die_only,glass,none,100000,1,2,interior,0.00,109.308,62.392,46.916,109.345,wrapper:run_panel_map.sh (gated against panhq db)
thermal,die_only,glass,none,100000,1,3,edge,0.00,109.308,62.010,47.298,109.345,wrapper:run_panel_map.sh (gated against panhq db)
thermal,die_only,glass,none,100000,2,0,edge,0.00,114.304,67.388,46.916,114.342,wrapper:run_panel_map.sh (gated against panhq db)
thermal,die_only,glass,none,100000,2,1,interior,0.00,114.304,67.388,46.916,114.342,wrapper:run_panel_map.sh (gated against panhq db)
thermal,die_only,glass,none,100000,2,2,interior,0.00,114.304,67.388,46.916,114.342,wrapper:run_panel_map.sh (gated against panhq db)
thermal,die_only,glass,none,100000,2,3,edge,0.00,114.304,67.006,47.298,114.342,wrapper:run_panel_map.sh (gated against panhq db)
thermal,die_only,glass,none,100000,3,0,corner,0.00,119.300,72.384,46.916,119.338,wrapper:run_panel_map.sh (gated against panhq db)
thermal,die_only,glass,none,100000,3,1,edge,0.00,119.300,72.384,46.916,119.338,wrapper:run_panel_map.sh (gated against panhq db)
thermal,die_only,glass,none,100000,3,2,edge,0.00,119.300,72.384,46.916,119.338,wrapper:run_panel_map.sh (gated against panhq db)
thermal,die_only,glass,none,100000,3,3,corner,0.00,119.300,72.002,47.298,119.338,wrapper:run_panel_map.sh (gated against panhq db)
thermal,design_map_1p15,glass,1.15,70000,0,0,corner,59.14,120.159,61.470,58.690,120.078,wrapper:run_panel_map.sh (gated against panhq db)
thermal,design_map_1p15,glass,1.15,70000,0,1,edge,37.34,119.581,61.185,58.396,119.553,wrapper:run_panel_map.sh (gated against panhq db)
thermal,design_map_1p15,glass,1.15,70000,0,2,edge,37.34,119.581,61.185,58.396,119.553,wrapper:run_panel_map.sh (gated against panhq db)
thermal,design_map_1p15,glass,1.15,70000,0,3,corner,59.14,120.159,60.547,59.612,120.078,wrapper:run_panel_map.sh (gated against panhq db)
thermal,design_map_1p15,glass,1.15,70000,1,0,edge,37.34,124.576,63.897,60.678,124.549,wrapper:run_panel_map.sh (gated against panhq db)
thermal,design_map_1p15,glass,1.15,70000,1,1,interior,15.54,123.998,63.718,60.280,124.024,wrapper:run_panel_map.sh (gated against panhq db)
thermal,design_map_1p15,glass,1.15,70000,1,2,interior,15.54,123.998,63.718,60.280,124.024,wrapper:run_panel_map.sh (gated against panhq db)
thermal,design_map_1p15,glass,1.15,70000,1,3,edge,37.34,124.575,63.277,61.298,124.548,wrapper:run_panel_map.sh (gated against panhq db)
thermal,design_map_1p15,glass,1.15,70000,2,0,edge,37.34,129.570,68.839,60.731,129.544,wrapper:run_panel_map.sh (gated against panhq db)
thermal,design_map_1p15,glass,1.15,70000,2,1,interior,15.54,128.993,68.660,60.333,129.020,wrapper:run_panel_map.sh (gated against panhq db)
thermal,design_map_1p15,glass,1.15,70000,2,2,interior,15.54,128.993,68.660,60.333,129.020,wrapper:run_panel_map.sh (gated against panhq db)
thermal,design_map_1p15,glass,1.15,70000,2,3,edge,37.34,129.570,68.230,61.340,129.544,wrapper:run_panel_map.sh (gated against panhq db)
thermal,design_map_1p15,glass,1.15,70000,3,0,corner,59.14,135.143,74.014,61.130,135.064,wrapper:run_panel_map.sh (gated against panhq db)
thermal,design_map_1p15,glass,1.15,70000,3,1,edge,37.34,134.565,73.834,60.731,134.539,wrapper:run_panel_map.sh (gated against panhq db)
thermal,design_map_1p15,glass,1.15,70000,3,2,edge,37.34,134.565,73.834,60.731,134.539,wrapper:run_panel_map.sh (gated against panhq db)
thermal,design_map_1p15,glass,1.15,70000,3,3,corner,59.14,135.143,73.378,61.765,135.064,wrapper:run_panel_map.sh (gated against panhq db)
thermal,design_map_2p62,glass,2.62,70000,0,0,corner,133.04,122.119,62.591,59.528,121.856,wrapper:run_panel_map.sh (gated against panhq db)
thermal,design_map_2p62,glass,2.62,70000,0,1,edge,83.34,120.801,61.941,58.859,120.660,wrapper:run_panel_map.sh (gated against panhq db)
thermal,design_map_2p62,glass,2.62,70000,0,2,edge,83.34,120.801,61.941,58.859,120.660,wrapper:run_panel_map.sh (gated against panhq db)
thermal,design_map_2p62,glass,2.62,70000,0,3,corner,133.04,122.119,61.583,60.535,121.855,wrapper:run_panel_map.sh (gated against panhq db)
