knob,value,inter_bw,makespan_ps,makespan_ms,rtos,rto_waves
base,10000,2000,46028299484,46.028,68,5
q,5000,2000,25642316303,25.642,1097,2
q,20000,2000,7393586768,7.394,0,0
ecnk,10,2000,42035814268,42.036,64,8
ecnk,25,2000,44030441459,44.030,65,5
ecnk,100,2000,48095419889,48.095,77,7
mtu,9000,2000,6397226960,6.397,0,0
base,10000,2400,6448818088,6.449,0,0
q,5000,2400,25086683427,25.087,233,2
q,20000,2400,6448818088,6.449,0,0
ecnk,10,2400,12445240114,12.445,0,0
ecnk,25,2400,6992051554,6.992,0,0
ecnk,100,2400,6095888821,6.096,0,0
mtu,9000,2400,5606497415,5.606,0,0
